,bitter,meaty,piquant,salty,sour,sweet
2-Ingredient-Nutella-Brownies-1471916,0.166666666667,0.833333333333,0.0,0.166666666667,0.0,0.833333333333
2-Ingredient-Pumpkin-Brownies-1267153,0.166666666667,0.166666666667,0.0,0.166666666667,0.5,0.166666666667
2-Ingredient-Pumpkin-Brownies-676212,0.166666666667,0.166666666667,0.0,0.333333333333,0.166666666667,0.666666666667
3-Ingredient-Brownies-1703671,0.166666666667,0.166666666667,0.0,0.0,0.166666666667,0.833333333333
3-Ingredient-Nutella-Brownies-1566904,0.166666666667,0.833333333333,0.0,0.166666666667,0.0,0.833333333333
37-calorie-brownies___-and-no_-I_m-not-kidding_-1697616,,,,,,
4-Ingredient-Nutella-Brownies-1562238,,,,,,
4th-of-July-SMores-Brownies-1681033,,,,,,
5-Minute-Brownie-in-a-Mug-1199161,0.833333333333,0.666666666667,0.0,0.833333333333,0.0,0.833333333333
6-Ingredient-Espresso-Brownies-1629846,0.333333333333,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
6-Ingredient_-1-Bowl-Brownies-1555996,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
90-Microwave-Brownie-in-a-Mug-1677653,0.666666666667,0.833333333333,0.0,0.666666666667,0.166666666667,0.833333333333
Absolutely-the-Best-Brownie-Recipe-Ever-1691150,0.166666666667,0.666666666667,0.0,0.5,0.0,0.833333333333
Adult-brownies-368993,0.5,0.833333333333,0.0,0.5,0.0,0.833333333333
Almond-Joy-Brownie-Bites-1705072,,,,,,
Amaretto-Brownies-1267731,0.166666666667,0.833333333333,0.0,0.333333333333,0.166666666667,0.833333333333
Amazing-Vegan-Brownies-1689372,0.166666666667,0.166666666667,0.0,0.5,0.0,0.833333333333
Andes-Mint-Brownies-1702654,,,,,,
Apple-Brownies-895948,0.166666666667,0.333333333333,0.0,0.333333333333,0.166666666667,0.833333333333
Applesauce-Brownies-1047303,0.5,0.666666666667,0.0,0.333333333333,0.166666666667,0.666666666667
Avocado-Brownies-1508271,0.666666666667,0.5,0.0,0.166666666667,0.166666666667,0.833333333333
Avocado-Brownies-546695,,,,,,
Avocado-Brownies-993774,0.666666666667,0.166666666667,0.0,0.5,0.166666666667,0.833333333333
Awesome-Chewy-Brownies-1642163,0.333333333333,0.833333333333,0.0,0.5,0.166666666667,0.833333333333
BROWNIE-CHEESECAKE-1684132,0.166666666667,0.833333333333,0.0,0.166666666667,0.166666666667,0.666666666667
BROWNIE-COW-POPSICLES-1574719,0.333333333333,0.5,0.0,0.166666666667,0.166666666667,0.833333333333
BROWNIE-PECAN-PIE-1045038,0.333333333333,0.833333333333,0.0,0.666666666667,0.166666666667,0.666666666667
Bailey_s-brownies-333866,0.166666666667,0.5,0.0,0.166666666667,0.0,0.833333333333
Banana-Split-Brownies-1693563,0.166666666667,0.5,0.0,0.166666666667,0.166666666667,0.833333333333
Basic-Brownie-1451025,,,,,,
Beer-Brownies-1705322,0.166666666667,0.833333333333,0.0,0.166666666667,0.0,0.833333333333
Best-Brownie-779437,0.5,0.5,0.0,0.666666666667,0.0,0.833333333333
Best-Brownies-1552413,,,,,,
Best-Brownies-793111,0.333333333333,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Best-Chocolate-Brownies-1701403,0.333333333333,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Best-Ever-Brownie-1615814,0.333333333333,0.666666666667,0.0,0.333333333333,0.0,0.833333333333
Best-Ever-Brownies-1354526,0.333333333333,0.833333333333,0.0,0.5,0.0,0.833333333333
Best-Ever-Easy-to-Make-Brownies-1683939,0.666666666667,0.833333333333,0.0,0.5,0.166666666667,0.833333333333
Best-Homemade-Brownie-514487,0.166666666667,0.333333333333,0.0,0.5,0.0,0.833333333333
Best-cocoa-brownies-305482,0.333333333333,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Better-Than-Box-Brownies-1630835,0.166666666667,0.5,0.0,0.166666666667,0.0,0.833333333333
Better-Than-Sex-Brownies-1464614,0.666666666667,0.833333333333,0.0,0.666666666667,0.0,0.833333333333
Better-than-Brownies-Chocolate-Cookies-1642283,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
Big-Batch-Brownies-1275125,0.5,0.5,0.0,0.666666666667,0.166666666667,0.833333333333
Birthday-Brownies-1160270,0.166666666667,0.666666666667,0.0,0.333333333333,0.0,0.833333333333
Biscoff-Blondie-Brownies-1509697,,,,,,
Biscoff-Gingersnap-Brownies-1132046,,,,,,
Black-Bean-Brownies-1640834,0.333333333333,0.333333333333,0.0,0.666666666667,0.166666666667,0.833333333333
Black-Bean-and-Banana-Brownies-1691401,,,,,,
Black-Bourbon-Walnut-Brownies-with-Maple-Candied-Bacon-_SundaySupper-1699953,0.666666666667,0.833333333333,0.0,0.666666666667,0.166666666667,0.833333333333
Black-and-White-Brownies-1633407,0.166666666667,0.666666666667,0.0,0.666666666667,0.0,0.833333333333
Blackberry-Cheesecake-Brownies-1697729,0.333333333333,0.5,0.0,0.5,0.166666666667,0.833333333333
