,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
3-Ingredient-Brownies-1583683,0,0,0,0,0,0,1,0,0,0,0,0,0
3-Ingredient-Chocolate-Hazelnut-_Nutella_-Brownies-1642812,0,0,0,0,0,0,1,0,0,0,0,0,0
4-Ingredient-Beetroot-Brownies-1231758,0,0,0,0,0,0,1,0,0,0,0,0,0
5-Ingredient-Fudgy-Flourless-Protein-Brownies-1551785,0,0,0,0,0,0,1,0,0,0,0,0,0
Almond-Brownies-with-Dulce-de-Leche-1577244,0,0,0,0,0,0,1,0,0,0,0,0,0
Amazing-Low-Carb-Brownies-839365,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-1037603,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-1489623,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-539107,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Quinoa-Brownies-1171350,0,0,0,0,0,0,1,0,0,0,0,0,0
Bailey_s-Irish-Cream-Brownies-1564722,0,0,0,0,0,0,1,0,0,0,0,0,0
Bakery-Style-Frosted-Brownies-1633075,0,0,0,0,0,0,1,0,0,0,0,0,0
Basic-Fudgy-Brownies-990482,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Ever-Fudge-Brownies-1049494,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Oreo-Brownies-Ever-1167696,0,0,0,0,0,0,1,0,0,0,0,0,0
Better-Than-Brownies-Cookies-1094924,0,0,0,0,0,0,1,0,0,0,0,0,0
Big-Batch-Fudgy-Brownies-1059708,0,0,0,0,0,0,1,0,0,0,0,0,0
Big_-Fat_-Moist-Brownies-1175370,0,0,0,0,0,0,1,0,0,0,0,0,0
Biscoff-Rolo-Blondie-Brownies-1128891,0,0,0,0,0,0,1,0,0,0,0,0,0
Bisquick-Brownies-678986,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bean-Brownies-1642084,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Forest-Brownies-1638586,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Forest-Brownies-979272,0,0,0,0,0,0,1,0,0,0,0,0,0
Blonde-Brownies-1339795,0,0,0,0,0,0,1,0,0,0,0,0,0
Blueberry-Brownies-1177885,0,0,0,0,0,0,1,0,0,0,0,0,0
Blueberry-Brownies-685591,0,0,0,0,0,0,1,0,0,0,0,0,0
Boozy-Brownies-1007641,0,0,0,0,0,0,1,0,0,0,0,0,0
Boozy-Raspberry-Poke-Brownies-1219447,0,0,0,0,0,0,1,0,0,0,0,0,0
Boston-Cooking-School-Brownies-440714,0,0,0,0,0,0,1,0,0,0,0,0,0
Breakfast-Brownies-1377805,0,0,0,1,0,0,1,0,0,0,0,0,0
Brittle-and-jam-blonde-brownies-309059,0,0,0,0,0,0,1,0,0,0,0,0,0
Brookies-_Brownie-Cookies_-1605167,0,0,0,0,0,0,1,0,0,0,0,0,0
