,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
2-Ingredient-Nutella-Brownies-1471916,0,0,0,0,0,0,1,0,0,0,0,0,0
2-Ingredient-Pumpkin-Brownies-1267153,0,0,0,0,0,0,1,0,0,0,0,0,0
2-Ingredient-Pumpkin-Brownies-676212,0,0,0,0,0,0,1,0,0,0,0,0,0
3-Ingredient-Brownies-1703671,0,0,0,0,0,0,1,0,0,0,0,0,0
3-Ingredient-Nutella-Brownies-1566904,0,0,0,0,0,0,1,1,0,0,0,0,0
37-calorie-brownies___-and-no_-I_m-not-kidding_-1697616,0,0,0,0,0,0,1,0,0,0,0,0,0
4-Ingredient-Nutella-Brownies-1562238,0,0,0,0,0,0,1,0,0,0,0,0,0
4th-of-July-SMores-Brownies-1681033,0,0,0,0,0,0,1,0,0,0,0,0,0
5-Minute-Brownie-in-a-Mug-1199161,0,0,0,0,0,0,1,0,0,0,0,0,0
6-Ingredient-Espresso-Brownies-1629846,0,0,0,0,0,0,1,0,0,0,0,0,0
6-Ingredient_-1-Bowl-Brownies-1555996,0,0,0,0,0,0,1,0,0,0,0,0,0
90-Microwave-Brownie-in-a-Mug-1677653,0,0,0,0,0,0,1,0,0,0,0,0,0
Absolutely-the-Best-Brownie-Recipe-Ever-1691150,0,0,0,0,0,0,1,0,0,0,0,0,0
Adult-brownies-368993,0,0,0,0,0,0,1,0,0,0,0,0,0
Almond-Joy-Brownie-Bites-1705072,0,0,0,0,0,0,1,0,0,0,0,0,0
Amaretto-Brownies-1267731,0,0,0,0,0,0,1,0,0,0,0,0,0
Amazing-Vegan-Brownies-1689372,0,0,0,0,0,0,1,0,0,0,0,0,0
Andes-Mint-Brownies-1702654,0,0,0,0,0,0,1,0,0,0,0,0,0
Apple-Brownies-895948,0,0,0,0,0,0,1,0,0,0,0,0,0
Applesauce-Brownies-1047303,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-1508271,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-546695,0,0,0,0,0,0,1,0,0,0,0,0,0
Avocado-Brownies-993774,0,0,0,0,0,0,1,0,0,0,0,0,0
Awesome-Chewy-Brownies-1642163,0,0,0,0,0,0,1,0,0,0,0,0,0
BROWNIE-CHEESECAKE-1684132,0,0,0,0,0,0,1,0,0,0,0,0,0
BROWNIE-COW-POPSICLES-1574719,0,0,0,0,0,0,1,0,0,0,0,0,0
BROWNIE-PECAN-PIE-1045038,0,0,0,0,0,0,1,0,0,0,0,0,0
Bailey_s-brownies-333866,0,0,0,0,0,0,1,0,0,0,0,0,0
Banana-Split-Brownies-1693563,0,0,0,0,0,0,1,0,0,0,0,0,0
Basic-Brownie-1451025,0,0,0,0,0,0,1,0,0,0,0,0,0
Beer-Brownies-1705322,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Brownie-779437,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Brownies-1552413,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Brownies-793111,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Chocolate-Brownies-1701403,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Ever-Brownie-1615814,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Ever-Brownies-1354526,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Ever-Easy-to-Make-Brownies-1683939,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-Homemade-Brownie-514487,0,0,0,0,0,0,1,0,0,0,0,0,0
Best-cocoa-brownies-305482,0,0,0,0,0,0,1,0,0,0,0,0,0
Better-Than-Box-Brownies-1630835,0,0,0,0,0,0,1,0,0,0,0,0,0
Better-Than-Sex-Brownies-1464614,0,0,0,0,0,0,1,0,0,0,0,0,0
Better-than-Brownies-Chocolate-Cookies-1642283,0,0,0,0,0,0,1,0,0,0,0,0,0
Big-Batch-Brownies-1275125,0,0,0,0,0,0,1,0,0,0,0,0,0
Birthday-Brownies-1160270,0,0,0,0,0,0,1,0,0,0,0,0,0
Biscoff-Blondie-Brownies-1509697,0,0,0,0,0,0,1,0,0,0,0,0,0
Biscoff-Gingersnap-Brownies-1132046,0,0,0,0,0,0,0,0,0,0,0,0,0
Black-Bean-Brownies-1640834,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bean-and-Banana-Brownies-1691401,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-Bourbon-Walnut-Brownies-with-Maple-Candied-Bacon-_SundaySupper-1699953,0,0,0,0,0,0,1,0,0,0,0,0,0
Black-and-White-Brownies-1633407,0,0,0,0,0,0,1,0,0,0,0,0,0
Blackberry-Cheesecake-Brownies-1697729,0,0,0,0,0,0,1,0,0,0,0,0,0
Bliss-Brownies-783150,0,0,0,0,0,0,1,0,0,0,0,0,0
Blondie-Brownies-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Blueberry-Brownies-627938,0,0,0,0,0,0,1,0,0,0,0,0,0
Boardwalk-Brownies-1641183,0,0,0,0,0,0,1,0,0,0,0,0,0
Boozy-Blond-Brownie-Sundae-1703081,0,0,0,0,0,0,1,0,0,0,0,0,0
Boston-Cream-Brownie-Parfait-1704550,0,0,0,0,0,0,1,0,0,0,0,0,0
Bourbon-Brown-Butter-Brownies-1089636,0,0,0,0,0,0,1,0,0,0,0,0,0
Bourbon-Salted-Caramel-Fudge-Brownies-1705597,0,0,0,0,0,0,1,0,0,0,0,0,0
Brown-Brown-Brownies-490043,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Batter-Hummus-1679710,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Batter-Muddy-Buddies-1275033,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Batter-Orange-Chia-Shake-1698735,0,1,0,0,0,0,1,0,0,0,0,0,0
Brownie-Brittle-1470847,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Buttons-489962,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cheesecake-1601479,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cookies-1053288,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Cookies-from-scratch-1562769,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Crackles-TasteOfHome,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Delight-Allrecipes,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Fries-1697237,0,0,0,0,0,0,1,0,0,0,0,0,0
Brownie-Mocha-Popsicles-1694483,0,0,0,0,0,0,1,1,0,0,0,0,0
