,rec_name,tot_time_seconds,rec_source,rating
Fudge-Brownie-No-Bake-Cheesecake-1108461,Fudge Brownie No-Bake Cheesecake,3300.0,A Dash of Sanity,4
Chewy-Gooey-Flourless-Chocolate-Cookies-472130,Chewy Gooey Flourless Chocolate Cookies,1500.0,Recipe Girl,5
Iced-Caramel-Brownies-1057206,Iced Caramel Brownies,600.0,My Organized Chaos,4
Triple-Chocolate-Fudge-Brownies-1316687,Triple Chocolate Fudge Brownies,2100.0,Just So Tasty,4
Mexican-Brownies-677614,Mexican Brownies,3300.0,The McCallum's Shamrock Patch,4
Swirled-Mascarpone-Brownies-with-Hazelnuts-1568327,Swirled Mascarpone Brownies with Hazelnuts,3000.0,Foodie Crush,4
Salted-Caramel-Brownie-Bites-973357,Salted Caramel Brownie Bites,7980.0,Inside BruCrew Life,4
Care-Package-Brownies-514239,Care Package Brownies,2700.0,Leite's Culinaria,5
Lazy-Daisy-Brownies-1263062,Lazy Daisy Brownies,3300.0,The Recipe Rebel,4
Fudgy-Vegan-Brownies-1564107,Fudgy Vegan Brownies,1800.0,Home Cooked Vegan,4
Red-Velvet-Brownies-1104789,Red Velvet Brownies,3300.0,Vegetarian Times,3
Fudgy-Orange-Brownies-1060454,Fudgy Orange Brownies,2100.0,Dish Diaries,4
Mint-Chocolate-Freezer-Brownies-1559974,Mint Chocolate Freezer Brownies,3600.0,Confessions of a Cookbook Queen,4
Spiked-Brownie-Trifle-1201717,Spiked Brownie Trifle,31500.0,Betty Crocker,3
Lemon-Brownies-639587,Lemon Brownies,2700.0,My Purple Spoon,4
Brownie-Batter-Ice-Cream-1082797,Brownie Batter Ice Cream,1200.0,Cookin' Mimi,4
Vegan-High-Protein-Fudge-Brownies-1571406,Vegan High Protein Fudge Brownies,1800.0,Avocado Pesto,4
Cocoa-Brownies-with-Browned-Butter-and-Walnuts-1344304,Cocoa Brownies with Browned Butter and Walnuts,3300.0,Bon Appétit,3
Nutella-Brownies-1005382,Nutella Brownies,2700.0,Chef In Training,4
3-Ingredient-Nutella-Brownies-1581657,3 Ingredient Nutella Brownies,1800.0,Create Bake Make,4
Dark-Chocolate-Espresso-Brownies-With-Vanilla-Salt-1678944,Dark Chocolate Espresso Brownies With Vanilla Salt,2100.0,the hungry mum,4
Super-Gooey-Chocolate-Brownies-1313543,Super-Gooey Chocolate Brownies,1500.0,Group Recipes,3
Buckeye-Brownies-1497728,Buckeye Brownies,2700.0,Eazy Peazy Mealz,4
Homemade-Chocolate-Fudge-Brownies-1595429,Homemade Chocolate Fudge Brownies,2700.0,Family Fresh Meals,4
Vegan-Brownie-Batter-for-One-1350919,Vegan Brownie Batter for One,900.0,The Live-In Kitchen,4
Flourless-Bourbon-Brownies-1384603,Flourless Bourbon Brownies,3000.0,Maker's Mark,3
One-Bowl-Vegan-Brownies-1590586,One Bowl Vegan Brownies,2400.0,Dietitian Debbie Dishes,4
Cappuccino-Brownies-Martha-Stewart_1,Cappuccino Brownies,3900.0,Martha Stewart,3
Brownie-Smores-Cheesecake-1678148,Brownie S’mores Cheesecake,19800.0,Tablespoon,3
Brownie-Muffins-1206194,Brownie Muffins,2100.0,It Bakes Me Happy,4
Bite-Size-Brownies-1589773,Bite-Size Brownies,1500.0,Delightful Adventures,4
Sweet-and-salty-brownies-369379,Sweet and Salty Brownies,5100.0,My Baking Addiction,5
Pumpkin-Swirl-Brownies-450787,Pumpkin Swirl Brownies,2100.0,Serious Eats,5
Healthy-Almond-Butter-Brownies-1010689,Healthy Almond Butter Brownies,3000.0,Buy Non GMO Seeds,4
Brownie-Cupcakes-1584177,Brownie Cupcakes,3000.0,Bake or Break,4
PHILLY-Brownie-Cheesecake-1526938,PHILLY Brownie Cheesecake,22800.0,Kraft,3
Chocolate-Hazelnut-Brownies-1021772,Chocolate Hazelnut Brownies,3000.0,What the Fork Food Blog,4
Bacon-Caramel-Brownies-1164671,Bacon Caramel Brownies,3600.0,Bakerita,4
Easy-Chocolate-Chunk-Caramel-Brownies-484912,Easy Chocolate Chunk Caramel Brownies,3600.0,The Comfort of Cooking,5
Flourless-Chocolate-Brownie-Cookies-1018243,Flourless Chocolate Brownie Cookies,1500.0,Big Girls Small Kitchen,4
Double-Chocolate-Toffee-Brownies-1621399,Double Chocolate Toffee Brownies,2400.0,The Tiptoe Fairy,4
Hot-Fudge-Cheesecake-Brownies-1382298,Hot Fudge Cheesecake Brownies,3600.0,Crazy For Crust,4
Layered-Chocolate-and-Peanut-Butter-Brownies-589869,Layered Chocolate and Peanut Butter Brownies,4200.0,Noble Pig,4
Oatmeal-Cookie-Brownies-1109822,Oatmeal Cookie Brownies,3600.0,Mostly Homemade Mom,4
Blondie-Bean-Brownie-Sundae-1368384,Blondie Bean Brownie Sundae,1800.0,Erica's Recipes,4
Brownie-Mix-Truffles-475218,Brownie Mix Truffles,1500.0,Iowa Girl Eats,4
Fudgy-Peanut-Butter-Cup-Brownies-1000884,Fudgy Peanut Butter Cup Brownies,5400.0,Averie Cooks,4
Pumpkin-Brownies-1322604,Pumpkin Brownies,2700.0,Fit Foodie Finds,4
Raspberry-Cheesecake-Brownies-664432,Raspberry Cheesecake Brownies,3300.0,Sally's Baking Addiction,4
Thin-mint-brownies-369445,Thin Mint Brownies,3600.0,My Baking Addiction,5
Pumpkin-Spice-Latte-Brownies-1279183,Pumpkin Spice Latte Brownies,3000.0,Inside BruCrew Life,4
Whopper-Brownies-1103475,Whopper Brownies,2700.0,Num's the Word,4
Kahlua-Brownie-Kisses-514912,Kahlua Brownie Kisses,6300.0,Liv Life,4
Gingerbread-Brownies-1433311,Gingerbread Brownies,3000.0,Delicious.,3
Thin-Mint-Brownies-1559343,Thin Mint Brownies,3600.0,Wanna Be A Country Cleaver,4
The-Best-Chewy-Brownies-in-the-World_-_Gluten-Free-option_-1317705,The Best Chewy Brownies in the World! (Gluten-Free option),2400.0,The Heritage Cook,4
Strawberry-Brownies-Allrecipes,Strawberry Brownies,3600.0,AllRecipes,3
Applesauce-Brownies-1071649,Applesauce Brownies,2700.0,Something Swanky,4
Peanut-Butter-Brownies-1627634,Peanut Butter Brownies,2820.0,Jessiker Bakes,4
Easy-Oreo-Brownie-Trifle-with-2-Minute-Mousse-1628657,Easy Oreo Brownie Trifle with 2 Minute Mousse,600.0,Home Jobs by Mom,4
Cookie-That-Thinks-It_s-A-Brownie-Allrecipes,Cookie That Thinks It's a Brownie,2400.0,AllRecipes,4
Raw-German-Chocolate-Brownies-1636312,Raw German Chocolate Brownies,1200.0,The Organic Dietitian,4
Chocolate-Almond-Brownies-1277736,Chocolate Almond Brownies,3300.0,Plain Chicken,4
Fudge-Brownies-747604,Fudge Brownies,3000.0,12Tomatoes,4
Katharine-Hepburns-Brownies-441621,Katharine Hepburn’s Brownies,3300.0,Saveur,5
3-Musketeers-Fudge-Brownies-1314577,3 Musketeers Fudge Brownies,2400.0,Cookies & Cups,4
Healthy-Black-Bean-Brownies-1235803,Healthy Black Bean Brownies,1800.0,Pink Recipe Box,4
S_Mores-Brownie-Bites-1224332,S'Mores Brownie Bites,720.0,Well Plated,4
Smores-Crockpot-Brownies-1364699,Smores Crockpot Brownies,6900.0,Dixie Crystals,3
Leftover-Pie-Brownies-1434000,Leftover Pie Brownies,2100.0,Newlywed Survival,4
Vegan-Date-Brownies-1321750,Vegan Date Brownies,2400.0,Chocolate and Carrots,4
Mocha-Brownies-Epicurious,Mocha Brownies,4200.0,Epicurious,4
M_M-Blonde-Brownies-1197846,M&M Blonde Brownies,2280.0,Inside BruCrew Life,4
Brownie-Pudding-604105,Brownie Pudding,4500.0,The Girl Who Ate Everything,3
Festive-Brownies-1407218,Festive Brownies,3000.0,RecipesPlus,3
My-Brownie-1056550,My Brownie,4200.0,Bakes In Slippers,4
OREO-Lovers-Unite_-Halloween-OREO-Fudge-Brownies-and-more-535112,OREO Lovers Unite! Halloween OREO Fudge Brownies and more,2700.0,"Baking and Cooking, A Tale of Two Loves",4
Valentine-Heart-Brownies-986087,Valentine Heart Brownies,3000.0,Taste of Home,3
Salted-Nutella-Pretzel-Brownies-1233274,Salted Nutella Pretzel Brownies,3780.0,Sunny Side Ups,4
Break-My-Heart-Brownies-1170064,Break My Heart Brownies,2700.0,Hummingbird High,4
Salted-Caramel-Brownies-1514971,Salted Caramel Brownies,3000.0,Tutti Dolci,4
Brownies-with-Dulce-de-Leche_-Pecans-and-Pretzels-1160010,"Brownies with Dulce de Leche, Pecans and Pretzels",3600.0,Good Housekeeping,3
Triple-Threat-Brownie-Cookies-1324899,Triple Threat Brownie Cookies,3300.0,Well Plated,4
S_mores-Brownies-1304854,S'mores Brownies,4200.0,popsugar.com,3
Jack-Daniel_s-Salted-Caramel-Fudge-Brownie-1156632,Jack Daniel's Salted Caramel Fudge Brownie,3600.0,The Slow Roasted Italian,4
Flourless-Brownies-980686,Flourless Brownies,2700.0,My Real Food Family,3
Crockpot-peanut-butter-brownies-310411,CrockPot Peanut Butter Brownies,,A Year of Slow Cooking,5
Brownie-Bottom-Cheesecake-1291080,Brownie Bottom Cheesecake,4500.0,Sweet Dash of Sass,4
Almond-Joy-Brownies-964926,Almond Joy Brownies,2700.0,The Best Blog Recipes,4
Peppermint-Bark-Brownies-489322,Peppermint Bark Brownies,86400.0,Love and Olive Oil,4
Fudgy-Oreo-Brownies-499552,Fudgy Oreo Brownies,2700.0,Pinch of Yum,4
Granny_s-Brownies-Allrecipes,Granny's Brownies,4800.0,AllRecipes,4
Gluten-Free-Brownie-1001141,Gluten Free Brownie,4500.0,Articook,4
Easy-Frosted-Valentine_s-Brownies-518187,Easy Frosted Valentine's Brownies,2100.0,Serious Eats,3
Diet-Coke-Brownies-1514878,Diet Coke Brownies,1800.0,Eating On A Dime,4
Lemon-Brownies-573689,Lemon Brownies,3000.0,Real Mom Kitchen,4
Worlds-Best-Caramel-Brownies-_aka-Crack-Brownies_-1226032,World’s Best Caramel Brownies {aka Crack Brownies},2700.0,Wine and Glue,4
Fudgey-Saucepan-Brownies-1370263,Fudgey Saucepan Brownies,2700.0,Home Sweet Homemade,4
Peppermint-Brownies-541037,Peppermint Brownies,60.0,Blendtec,3
Pretzel-Brownies-760605,Pretzel Brownies,3600.0,PureWow,4
Cherry-Cheesecake-Brownies-_-Easy-Weeknight-Dessert_-1055314,Cherry Cheesecake Brownies | Easy Weeknight Dessert!,4200.0,Moms Need To Know,4
Fudgy-Cream-Cheese-Brownies-1212792,Fudgy Cream Cheese Brownies,3300.0,Health,3
Brownies-with-Walnuts-549180,Brownies with Walnuts,3300.0,Yerbabuena en la Cocina,4
Zebra-Brownies-1632992,Zebra Brownies,3000.0,Inside BruCrew Life,4
Chocolate-pumpkin-cheesecake-brownies-365439,Chocolate Pumpkin Cheesecake Brownies,3900.0,Jo Cooks,5
Shortbread-candy-corn-kissed-brownies-334653,Shortbread Candy Corn Kissed Brownies,4800.0,Picky Palate,5
Simply-Caramel-Filled-Brownies-461541,Simply Caramel Filled Brownies,3900.0,Real Mom Kitchen,5
Mississippi-Mud-Skillet-Brownies-768091,Mississippi Mud Skillet Brownies,1800.0,Parade,3
Chocolate-Brownie-1441143,Chocolate Brownie,3000.0,Palaharam,4
Banana-Split-Brownie-Trifle-1035568,Banana Split Brownie Trifle,1500.0,Barefeet In The Kitchen,4
Brownie-Upside-Down-Brownie-776465,Brownie Upside-Down Brownie,4500.0,Serious Eats,3
Black-and-Tan-Brownies-1034767,Black and Tan Brownies,4200.0,Tracey's Culinary Adventures,5
Brownie-Batter-Protein-Shake-1633029,Brownie Batter Protein Shake,300.0,I Heart Vegetables,4
No-Pudge-Brownie-1115131,No Pudge Brownie,2700.0,Survival Guide by the Working Mom,4
Fudgy-One-Pot-Brownies-580516,Fudgy One-Pot Brownies,900.0,Every Day with Rachael Ray,3
Cookie-dough-cheesecake-brownie-bars-335473,Cookie Dough Cheesecake Brownie Bars,3600.0,Bakers Royale,5
Homemade-Brownies-with-Funfetti-Frosting-630681,Homemade Brownies with Funfetti Frosting,2400.0,Confessions of a Cookbook Queen,3
Homemade-Brownie-Mix-1231334,Homemade Brownie Mix,2400.0,Chef In Training,4
Brownies-with-Raspberries-607345,Brownies with Raspberries,3600.0,Taste,3
Guilt_Free-Brownies-Martha-Stewart,Guilt-Free Brownies,3000.0,Martha Stewart,4
Double-chocolate-brownies-369266,Double Chocolate Brownies,2400.0,My Baking Addiction,5
Brownie-Cookie-Cupcakes-589550,Brownie-Cookie Cupcakes,7200.0,Betty Crocker,3
Peanut-Butter-Stuffed-Brownies-574735,Peanut Butter Stuffed Brownies,4500.0,Sally's Baking Addiction,4
Copycat-Little-Debbie-Cosmic-Brownies-1038981,Copycat Little Debbie Cosmic Brownies,2400.0,Adventures in Coupons,3
Peanut-Butter-Cup-Crunch-Brownies-760548,Peanut Butter Cup Crunch Brownies,3600.0,Serena Bakes Simply from Scratch,4
Irish-Whiskey-Brownies-1545678,Irish Whiskey Brownies,12300.0,Betty Crocker,3
Peanut-Butter-Brownie-Bites-1640169,Peanut Butter Brownie Bites,2700.0,Better Homes and Gardens,3
Skinny-Black-Bean-Brownies-1088584,Skinny Black Bean Brownies,3000.0,Simple Nourished Living,4
Vegan-Superfood-Brownies-1581181,Vegan Superfood Brownies,3300.0,Motion Mom,4
Intense-Chocolate-Brownies-1004316,Intense Chocolate Brownies,3900.0,Chez CateyLou,4
Ultimate-Keto-Chocolate-Brownies-1683633,Ultimate Keto Chocolate Brownies,2400.0,Keto Diet,4
Olive-Oil-Brownies-with-Ganache-1579429,Olive Oil Brownies with Ganache,4200.0,Neurotic Baker,4
Mint-Infused-Deep-Dish-Brownies-970534,Mint Infused Deep Dish Brownies,3900.0,Recipe for Perfection,4
Cake-Batter-Cheesecake-Brownies-1168585,Cake Batter Cheesecake Brownies,3600.0,Inside BruCrew Life,4
Homemade-brownies-352819,Homemade Brownies,3300.0,A Spicy Perspective,5
Basic-Brownies-Allrecipes,Basic Brownies,2700.0,AllRecipes,4
Protein-Brownies-_vegan-Friendly_-749952,Protein Brownies (vegan Friendly),2400.0,EatMunchLove,4
Brownie-Batter-Frosting-1592800,Brownie Batter Frosting,1500.0,Plain Chicken,4
Marshmallow-Brownie-Delight-1099997,Marshmallow Brownie Delight,4200.0,The Rebel Chick,4
Fudgy-Sweet-Potato-Brownies-1430164,Fudgy Sweet Potato Brownies,2100.0,Paleo Grubs,4
Brownie-Batter-Overnight-Oats-1633423,Brownie Batter Overnight Oats,600.0,Eating Birdfood,4
Buttermilk-Brownies-1470194,Buttermilk Brownies,3300.0,Better Homes and Gardens,3
Mint-Chocolate-Chip-Brownies-1020295,Mint Chocolate Chip Brownies,3600.0,My Baking Addiction,5
M_M_S-Peanut-Butter-Brownies-571621,M&M'S Peanut Butter Brownies,3000.0,The Kitchn,5
Red-Velvet-and-Cream-Cheese-Swirl-Brownies-1397403,Red Velvet and Cream Cheese Swirl Brownies,3300.0,Cooking with Paula Deen,3
Red-Velvet-Slutty-Brownies-1006608,Red Velvet Slutty Brownies,3900.0,What's Gaby Cooking,4
Fudgy-Apple-Brownies-1681410,Fudgy Apple Brownies,3300.0,Give Recipe,4
Katharine-Hepburn-Brownies-482694,Katharine Hepburn Brownies,3600.0,Brown Eyed Baker,4
Mocha-Truffle-Brownies-1015709,Mocha Truffle Brownies,3600.0,Mom On Timeout,4
Nana_s-Brownies-1239158,Nana's Brownies,4500.0,Bon Appétit,3
Tangy-Raspberry-Cheese-Brownies-1226775,Tangy Raspberry Cheese Brownies,1200.0,My Gourmet Connection,4
Campfire-Orange-Brownies-607013,Campfire Orange Brownies,4200.0,Door to Door Organics,3
Best-Ever-Fudge-Brownie-1545874,Best Ever Fudge Brownie,3300.0,Weight Watchers Recipes Blog,4
Triple-Chocolate-Brownies-489913,Triple Chocolate Brownies,2520.0,Bake or Break,4
Dark-Chocolate-Salted-Caramel-Pretzel-Brownies-1627296,Dark Chocolate Salted Caramel Pretzel Brownies,3000.0,Yammie's Noshery,4
Microwave-Mug-Brownie-1313540,Microwave Mug Brownie,360.0,Baking Beauty,4
Black-Bean-Brownies-1538517,Black Bean Brownies,3000.0,Live Naturally Magazine,3
