,rec_name,tot_time_seconds,rec_source,rating
Outrageous-Brownies-1365313,Outrageous Brownies,3600.0,"Two novice chefs, one tiny kitchen",4
Fudgy-Brownies-Martha-Stewart-196716,Fudgy Brownies,3300.0,Martha Stewart,5
Lemon-Brownies-1395451,Lemon Brownies,2700.0,Forgetful Momma,4
Tiramisu-Brownies-1613728,Tiramisu Brownies,3000.0,Broma Bakery,4
Snickers-brownies-369422,Snickers Brownies,3600.0,My Baking Addiction,5
Cakey-Brownies-1280505,Cakey Brownies,2700.0,Blessings and Good Food,4
6-Ingredient_-1-Bowl-Brownies-1555996,"6-Ingredient, 1 Bowl Brownies",2700.0,Yellow Bliss Road,4
Midnight-Diablo-Brownies-1619638,Midnight Diablo Brownies,1800.0,Port and Fin,4
Supernatural-Brownies-634344,Supernatural Brownies,3600.0,Once Upon A Chef,5
Peanut-Butter-Brownies-1095081,Peanut Butter Brownies,2400.0,TGIF - This Grandma Is Fun,4
Flourless-Keto-Brownie-1181189,Flourless Keto Brownie,1800.0,Ditch The Carbs,4
Brownie-Fries-1697237,Brownie Fries,2100.0,A Cookie Named Desire,4
Uber-Doober-PB-Brownies-1640170,Uber-Doober PB Brownies,3600.0,Better Homes and Gardens,3
Kahlua-Brownies-with-Cream-Cheese-Frosting-1704091,Kahlua Brownies with Cream Cheese Frosting,2280.0,Tramplingrose,4
4th-of-July-SMores-Brownies-1681033,4th of July S’Mores Brownies,4200.0,Andie Mitchell,3
Raspberry-cheesecake-brownie-335435,Raspberry Cheesecake Brownie,4200.0,Bakers Royale,5
Single-Serving-Brownie-1702482,Single Serving Brownie,1800.0,French Press,4
Fudgy-Paleo-Brownies-1625043,Fudgy Paleo Brownies,1200.0,JoyFoodSunshine,4
Ultimate-Brownies-989869,Ultimate Brownies,3600.0,Handle the Heat,4
Brownie-pizza-334047,Brownie Pizza,2400.0,How Sweet It Is,5
Chewy-Chocolate-Brownies-1700153,Chewy Chocolate Brownies,3600.0,The Unmanly Chef,4
Paleo-Coconut-Brownies-1678792,Paleo Coconut Brownies,2700.0,Beyond Diet,3
Heavenly-Hash-Brownies-1690396,Heavenly Hash Brownies,2100.0,Southern Bite,4
Blondie-Brownies-Allrecipes,Blondie Brownies,3300.0,AllRecipes,4
Classic-Brownies-1222009,Classic Brownies,3300.0,Fake Ginger,4
Fudge-Brownies-574731,Fudge Brownies,3600.0,My Daily Moment,3
Santa-Hat-Brownies-924255,Santa Hat Brownies,1800.0,Daisy's World,4
Monster-Brownies-489930,Monster Brownies,3000.0,Bake or Break,4
Sweet-Potato-Brownies-1696851,Sweet Potato Brownies,3300.0,Healthy Holistic Living,4
Buttercream-brownies-310080,Buttercream Brownies,6300.0,Big Girls Small Kitchen,5
Surprise-Snickers-Stuffed-Brownies-1627119,Surprise Snickers Stuffed Brownies,3180.0,Unicorns In The Kitchen,4
Buckeye-Brownies-1164154,Buckeye Brownies,1200.0,I Heart Nap Time,4
White-Chocolate-Brownies-_Blondies_-1603626,White Chocolate Brownies (Blondies),3600.0,Sugar Spun Run,4
Chocolate-Brownies-1699827,Chocolate Brownies,2100.0,Halaal Recipes,3
Ultimate-Deep-Dish-Brownies-981035,Ultimate Deep Dish Brownies,3000.0,Recipe for Perfection,4
Fudgy-Chocolate-Brownies-1270470,Fudgy Chocolate Brownies,3000.0,Relish,3
Marble-Cheesecake-Brownies-1170027,Marble Cheesecake Brownies,3000.0,Southern Plate,4
Raspberry-Brownies-MyRecipes-235940,Raspberry Brownies,3900.0,MyRecipes,3
Shortbread-Brownies-1023628,Shortbread Brownies,1200.0,Better Homes and Gardens,3
Chocolate-Brownie-1061026,Chocolate Brownie,3300.0,Flavor Quotient,4
Gooey-cocoa-brownies-344981,Gooey Cocoa Brownies,3600.0,Honey & Jam,5
Crack-Brownies-1686684,Crack Brownies,2400.0,A baJillian Recipes,4
German-Chocolate-Brownies-1625054,German Chocolate Brownies,3600.0,Julie's Eats & Treats,4
Praline-Brownies-1518704,Praline Brownies,3600.0,Plain Chicken,4
Eggless-Brownies-1598947,Eggless Brownies,3000.0,Spice up the Curry,4
Almond-Joy-Brownie-Bites-1705072,Almond Joy Brownie Bites,3300.0,Lady Behind the Curtain,4
PHILADELPHIA-Marble-Brownies-1501673,PHILADELPHIA Marble Brownies,4800.0,Kraft,3
Easy-Brownie-896923,Easy Brownie,1800.0,Recipe for Perfection,4
Toffee-Surprise-Brownies-1158102,Toffee Surprise Brownies,2700.0,Good Housekeeping,3
Peanut-Butter-Cheesecake-Brownies-1677714,Peanut Butter Cheesecake Brownies,4200.0,Chocolate Moosey,4
Slutty-Brownie-Cups-1519396,Slutty Brownie Cups,2400.0,The Domestic Rebel,4
Naughty-Brownies-1013218,Naughty Brownies,2700.0,Buttercream Bakehouse,4
Bliss-Brownies-783150,Bliss Brownies,2400.0,Creating & Baking Outside The Box,4
Peanut-butter-brownies-307307,Peanut Butter Brownies,5400.0,Smitten Kitchen,5
BROWNIE-PECAN-PIE-1045038,BROWNIE PECAN PIE,3300.0,Bisket and Bagels,4
Chocolate-Almond-Butter-Brownies-1696853,Chocolate Almond Butter Brownies,1320.0,Healthy Holistic Living,4
Healthy-Brownies-896942,Healthy Brownies,1800.0,Recipe for Perfection,4
Cappuccino-Brownies-1088477,Cappuccino Brownies,2700.0,Try Anything Once,4
Triple-Chocolate-Brownies-1693277,Triple Chocolate Brownies,3900.0,I Love My Disorganized Life,4
Truffle-Brownies-Serious-Eats-41843,Truffle Brownies,6300.0,Serious Eats,5
Reese_s-Brownies-1633044,Reese's Brownies,2700.0,Lou Lou Girls.Blogspot.Com,4
Cocoa-Brownies-639536,Cocoa Brownies,2700.0,Bon Appétit,3
Chunky-Monkey-Brownies-1221274,Chunky Monkey Brownies,2700.0,Can't Stay Out of the Kitchen,4
Paleo-Brownies-1574838,Paleo Brownies,2700.0,Elana's Pantry,4
Twix-Brownies-1175270,Twix Brownies,2700.0,Simply Shellie,4
Old-Fashioned-Brownie-with-frosting-1679662,Old Fashioned Brownie with frosting,2100.0,A Pinch of Joy,4
Double-Chocolate-Pudding-Brownies-1684720,Double Chocolate Pudding Brownies,2700.0,The Sweet (Tooth) Life,4
Brownies-1094464,Brownies,3000.0,The Nerdy Chef,4
Skillet-Brownies-1353590,Skillet Brownies,2100.0,Everyday Dishes,3
Caramel-Pecan-Brownies-1694907,Caramel Pecan Brownies,3300.0,Ecletic Red Barn,4
Golf-Ball-Truffles-and-Putting-Green-Brownies-1701548,Golf Ball Truffles and Putting Green Brownies,12300.0,SugarHero,4
Creme-Brulee-Brownies-1692940,Créme Bruleé Brownies,4200.0,Confessions of a Cookbook Queen,4
Lemon-Brownies-1172318,Lemon Brownies,2700.0,Whats for Supper UK,4
Caramel-Filled-Brownies-1684993,Caramel Filled Brownies,3900.0,Damn Delicious,4
Healthy-Chocolate-Fudge-Mug-Brownie-1687277,Healthy Chocolate Fudge Mug Brownie,240.0,Happy Healthy Motivated,4
Chocolate-Chip-Cookie-Dough-Brownie-Bomb-Cake-1702784,Chocolate Chip Cookie Dough Brownie Bomb Cake,5700.0,The Domestic Rebel,4
Greek-Yogurt-Brownies-1529762,Greek Yogurt Brownies,3000.0,Hungry Happens.com,3
Protein-Brownies-1418983,Protein Brownies,2100.0,Run Eat Repeat,4
Sinfully-Rich-Brownies-1699461,Sinfully Rich Brownies,2700.0,Boys Ahoy,4
Vegan-Brownies-1605042,Vegan Brownies,3000.0,AllRecipes,4
Smores-Brownie-574199,Smores’ Brownie,1980.0,Easy to Make Recipes,3
Microwave-Brownies-Single-Serve-1700111,Microwave Brownies Single Serve,1800.0,The Pin Junkie,4
Seven-Layer-Brownie-Cheesecake-Parfait-1687195,Seven Layer Brownie Cheesecake Parfait,1200.0,An Italian in my Kitchen,4
Nutella-Brownies-1575022,Nutella Brownies,13500.0,Sally's Baking Addiction,4
Santa-Hat-Brownies-1697221,Santa Hat Brownies,900.0,Cake Whiz,4
Supernatural-Brownies-1678676,Supernatural Brownies,4500.0,Honey & Jam,4
Lemon-Brownies-1037629,Lemon Brownies,2400.0,Life with the Crust Cut Off,4
Cherry-Lychee-Cheesecake-Brownies-1688024,Cherry Lychee Cheesecake Brownies,4500.0,Jewlicious,4
Lindor-Truffle-Brownies-1004556,Lindor Truffle Brownies,2700.0,Tasty Kitchen,3
Brownies-1174675,Brownies,3000.0,Elana's Pantry,4
Derby-Pie-Brownies-1619626,Derby Pie Brownies,4500.0,Take Two Tapas,4
Brownies-1535408,Brownies,3000.0,Elana's Pantry,4
Diet-Coke-Brownies-1599803,Diet Coke Brownies,2700.0,Aunt Peg's Recipe Box,4
Brownie-Cookies-1053288,Brownie Cookies,5100.0,Blessings and Good Food,4
Lime-Brownies-1611850,Lime Brownies,2700.0,Life with the Crust Cut Off,4
