,rec_name,tot_time_seconds,rec_source,rating
Heavenly-Hash-Brownies-1175252,Heavenly Hash Brownies,1800.0,It Bakes Me Happy,4
Spinach-Brownies-1607705,Spinach Brownies,3300.0,AllRecipes,4
Coffee-cream-brownies-344321,Coffee Cream Brownies,3000.0,MyRecipes,4
White-Chocolate-Oreo-Brownie-Parfait-578476,White Chocolate Oreo Brownie Parfait,3420.0,Inside BruCrew Life,4
Chewy-Chocolate-Brownies-with-a-Whipped-Cookies-_-Cream-_-Mascarpone-Topping-1008194,Chewy Chocolate Brownies with a Whipped Cookies & Cream & Mascarpone Topping,2700.0,Port and Fin,4
Sugar-Free-Chocolate-Brownies-1101824,Sugar Free Chocolate Brownies,1800.0,Sugar-Free Mom,4
Black-Forest-Torte-1643247,Black Forest Torte,4500.0,Bon Appétit,3
Cookie-Dough-Milkshake-1702455,Cookie Dough Milkshake,1200.0,Mommy Travels,4
Oat-Flour-and-Beet-Brownies-1534975,Oat Flour and Beet Brownies,5400.0,Madhurams's Eggless Cooking,4
Cherry_Almond-Brownies-Martha-Stewart,Cherry-Almond Brownies,3000.0,Martha Stewart,4
Chocolate-Mint-Andes-Brownies-1033230,Chocolate Mint Andes Brownies,2700.0,Chef Savvy,4
100-calorie-Black-Bean-Brownies-1265945,100-calorie Black Bean Brownies,2400.0,FitnessRx for Women,3
Peanut-Butter-Cup-Caramel-Brownies-1352832,Peanut Butter Cup Caramel Brownies,2100.0,"What's Cooking, Love?",4
Peppermint-Cheesecake-Brownies-1075493,Peppermint Cheesecake Brownies,3600.0,MyRecipes,3
Hot-Raspberry-_-Hazelnut-Brownies-1521697,Hot Raspberry & Hazelnut Brownies,3600.0,Bonne Maman,3
Blackberry-Brownies-1003308,Blackberry Brownies,3000.0,The Roasted Root,4
Banana-Split-Brownies-Martha-Stewart,Banana Split Brownies,4500.0,Martha Stewart,3
Triple-Fudge-Reese_s-Brownies-1072803,Triple Fudge Reese's Brownies,1680.0,"Oh, Sweet Basil",4
No-Fuss-Brownies-577449,No Fuss Brownies,2400.0,Tarladal,3
Snickers-Stuffed-Brownies-with-Chocolate-Ganache-1101024,Snickers Stuffed Brownies with Chocolate Ganache,2700.0,This Silly Girl's Life,4
Butterfinger-Cheesecake-Brownie-Bites-1064709,Butterfinger Cheesecake Brownie Bites,2100.0,The Bitter Side of Sweet,4
