,rec_name,tot_time_seconds,rec_source,rating
Fudgy-Strawberry-Brownie-Nachos-1607218,Fudgy Strawberry Brownie Nachos,1800.0,Simply Southern Baking,4
Peanut-Butter-Cup-Brownies-1610414,Peanut Butter Cup Brownies,3000.0,AllRecipes,4
Nutella-Peanut-Butter-Brownies-1229976,Nutella Peanut Butter Brownies,2100.0,Pairing Knife,4
Browned-Butter-Red-Velvet-Brownies-1346136,Browned Butter Red Velvet Brownies,3600.0,Something Swanky,4
Fudgy-Frosted-Brownies-471847,Fudgy Frosted Brownies,1200.0,Recipe Girl,5
Cocoa-brownies-with-salted-peanut-butter-frosting-308984,Cocoa Brownies with Salted Peanut Butter Frosting,4800.0,Not Without Salt,5
Milk-Chocolate-Truffle-Brownies-939315,Milk Chocolate Truffle Brownies,2700.0,Recipe Girl,4
Paleo-Delicata-Squash-Brownies-935364,Paleo Delicata Squash Brownies,2400.0,Fearless Dining,4
Nutty-Triple-Chocolate-Brownie-Cookies-1631081,Nutty Triple Chocolate Brownie Cookies,4200.0,Wanna Come With,4
Cream-Cheese-Brownies-1128133,Cream Cheese Brownies,3000.0,365 Days of  Slow Cooking,4
Pumpkin-Cheesecake-Swirled-Brownies-1012755,Pumpkin Cheesecake Swirled Brownies,4500.0,Bake Eat Repeat,4
Oatmeal-Chocolate-Chip-Brownies-1000517,Oatmeal Chocolate Chip Brownies,2700.0,The Grant Life,4
Chocolate-beet-Brownies-1180058,Chocolate-beet Brownies,2700.0,Chatelaine,3
IKEA-Lingonberry-Jam-Cheesecake-Brownie-896755,IKEA Lingonberry Jam Cheesecake Brownie,3900.0,Recipe for Perfection,4
S_Mores-Brownies-473099,S'Mores Brownies,1800.0,Recipe Girl,5
Peanut-Butter-Brownies-988019,Peanut Butter Brownies,3300.0,Chez CateyLou,4
Fudgy-Brownies-with-Raspberry-Sauce-1080882,Fudgy Brownies with Raspberry Sauce,3000.0,ABC,3
Christmas-Tree-Brownies-1426573,Christmas Tree Brownies,3600.0,This Mommy Saves Money,4
Hot-Cocoa-Brownies-1421040,Hot Cocoa Brownies,2400.0,Crumb,4
Chocolate-Brownie-M_M_s-Cookies-1592013,Chocolate Brownie M&M's Cookies,900.0,Living The Gourmet,4
Vegan-Superfood-Brownies-1581187,Vegan Superfood Brownies,3300.0,Motion Mom,4
Chocolate-Chip-Brownie-in-a-mug-1579724,Chocolate Chip Brownie in a mug,240.0,A Pinch of Joy,4
Boozy-Boston-Cream-Brownies-1503566,Boozy Boston Cream Brownies,3300.0,Broma Bakery,4
Pumpkin-Spice-Brownies-1308624,Pumpkin Spice Brownies,2700.0,Cook With Manali,3
Chocolate-Brownie-with-Walnut-Crumb-and-Salted-Caramel-Sauce-1628787,Chocolate Brownie with Walnut Crumb and Salted Caramel Sauce,3600.0,Tenplay,3
Peanut-Butter-Fudge-Iced-Brownies-471375,Peanut Butter Fudge Iced Brownies,1800.0,Southern Plate,5
Flourless-Double-Chocolate-Brownies-1061422,Flourless Double Chocolate Brownies,2100.0,Running with Spoons,4
Cookies-and-Cream-Cheesecake-Brownies-482049,Cookies and Cream Cheesecake Brownies,3600.0,Brown Eyed Baker,4
Skillet-Apple-Brownie-1608478,Skillet Apple Brownie,4800.0,AllRecipes,4
Cookie-Dough-Brownie-Cookies-1574352,Cookie Dough Brownie Cookies,3600.0,Tastes of Lizzy T,4
The-five-step-Milo-brownies-1387300,The five step Milo brownies,2700.0,Island Smile,4
Favorite-Fudgy-Brownies-1406763,Favorite Fudgy Brownies,2100.0,Creating & Baking Outside The Box,4
Decadent-Whole-Wheat-Brownies-1304589,Decadent Whole Wheat Brownies,3000.0,The White Ramekins,4
Milky-Way-Brownie-Cups-1298974,Milky Way Brownie Cups,1920.0,Inside BruCrew Life,4
Fudgey-Banana-Brownies-1204638,Fudgey Banana Brownies,2700.0,Beantown Baker,4
Brownie-Cookies-1213661,Brownie Cookies,1800.0,"Love, Pasta and A Tool Belt",4
