,rec_name,tot_time_seconds,rec_source,rating
Nutella-Brownies-1523670,Nutella Brownies,2400.0,Hungry Soul by Abha,4
Oreo-Chunk-Brownies-472127,Oreo Chunk Brownies,3600.0,Recipe Girl,5
Brownie-Cups-Allrecipes,Brownie Cups,3000.0,AllRecipes,4
Roasted-Cherry-Brownies-499675,Roasted Cherry Brownies,2700.0,Pinch of Yum,4
Nutty-Fudge-Brownies-1629985,Nutty Fudge Brownies,3300.0,Completely Delicious,4
Salted-Fudge-Brownies-1601272,Salted Fudge Brownies,4500.0,Peanut Butter Runner,4
Favorite-Brownies-From-Scratch-1148897,Favorite Brownies From Scratch,3600.0,Crumbs and Chaos,4
Chippy-Blond-Brownies-TasteOfHome,Chippy Blond Brownies,2400.0,Taste of Home,5
Control-Recipe-Brownie-994873,Control Recipe Brownie,2700.0,Honest Cooking,3
Brownie-Cake-Sundaes-with-Pecan-Ice-Cream-Balls-1697118,Brownie Cake Sundaes with Pecan-Ice Cream Balls,6000.0,Food & Wine,3
Freezer-Friendly-Brownie-Bites-1640538,Freezer Friendly Brownie Bites,1200.0,Happy Money Saver,4
Skillet-Brownie-1241650,Skillet Brownie,3000.0,A Life From Scratch,4
Strawberry-Brownie-Shots-1267548,Strawberry Brownie Shots,600.0,Monish Gujral,3
Easy-From-Scratch-Brownies-1511531,Easy From Scratch Brownies,2220.0,Sugar Dish Me,4
Skillet-Brownies-S_mores-1578086,Skillet Brownies S'mores,2100.0,Add a Pinch,4
Midnight-Brownies-579343,Midnight Brownies,3900.0,The Dr.Oz Show,3
Drunken-Monkey-Brownies-972913,Drunken Monkey Brownies,3000.0,Cookie Dough and Oven Mitt,4
Simple-_-Easy-Chocolate-Chips-Brownies-1580700,Simple & Easy Chocolate Chips Brownies,5400.0,The Seaman Mom,4
Pumpkin-Pecan-Brownies-1344365,Pumpkin Pecan Brownies,3300.0,Ghirardelli Brand Chocolate,3
Slutty-Brownies-631239,Slutty Brownies,3600.0,What's Gaby Cooking,3
Butterscotch-Brownies-1565013,Butterscotch Brownies,7200.0,a trEATs affair,4
Milk-Chocolate-Coconut-Brownies-1662708,Milk Chocolate Coconut Brownies,3000.0,"Faith, Hope, Love, and Luck",4
Cacao-Nib-Brownies-1062879,Cacao Nib Brownies,3000.0,Frites & Fries,4
Cupcake-Brownies-TasteOfHome,Cupcake Brownies,2100.0,Taste of Home,5
Blonde-Brownies-I-Allrecipes,Blonde Brownies I,3000.0,AllRecipes,5
Best-Ever-Brownies-499398,Best Ever Brownies,3300.0,Pinch of Yum,4
Peanut-Butter-Brownie-896886,Peanut Butter Brownie,1800.0,Recipe for Perfection,4
Hazelnut-Brownies-1611544,Hazelnut Brownies,2400.0,Cooking with Curls,4
Cream-Cheese-Brownies-1526765,Cream Cheese Brownies,3300.0,All Things Mama,4
Fudge-Brownies-574731,Fudge Brownies,3600.0,My Daily Moment,3
Buttermilk-Brownies-629180,Buttermilk Brownies,3000.0,MyRecipes,3
Recipe_-Nutty-Coconut-Caramel-Brownies-A-Spicy-Perspective-45844,Nutty Coconut Caramel Brownies,2700.0,A Spicy Perspective,5
Deep_-Dark-Brownies-472977,"Deep, Dark Brownies",1500.0,Recipe Girl,5
Ooey-Gooey-Brownies-471887,Ooey Gooey Brownies,2400.0,Recipe Girl,5
Divine-praline-brownies-338823,Divine Praline Brownies,3300.0,MyRecipes,3
Rocky-Road-Brownies-1575839,Rocky Road Brownies,1800.0,Real Life Dinner,4
Reeses-Peanut-Butter-Brownies-1682531,Reese’s Peanut Butter Brownies,3900.0,I Heart Nap Time,4
Grasshopper-Brownies-532258,Grasshopper Brownies,4500.0,Brown Eyed Baker,4
Avocado-Brownies-1373455,Avocado Brownies,2700.0,Fake Ginger,4
