,rec_name,tot_time_seconds,rec_source,rating
Caramel-Brownies-1061400,Caramel Brownies,2100.0,Love from the Oven,4
Fudgy-Raspberry-Brownies-1188741,Fudgy Raspberry Brownies,3600.0,A Cookie Named Desire,4
Butterscotch-Brownies-1070483,Butterscotch Brownies,2100.0,Give Me Neither,4
Delicious-Brownie-Sundae-Dessert-Dip_-1129835,Delicious Brownie Sundae Dessert Dip!,1200.0,Pizzazzerie,3
Brownie-Protein-Parfait-1080383,Brownie Protein Parfait,1500.0,Blue Crab Martini,4
Dulce-de-Leche-Brownies-470663,Dulce de Leche Brownies,3900.0,Tracey's Culinary Adventures,4
Fudge-Brownie-Cookies-1701236,Fudge Brownie Cookies,7200.0,Kelsey In The Kitchen,4
Ultimate-Peanut-Butter-Cup-Brownies-1628001,Ultimate Peanut Butter Cup Brownies,2700.0,Let's Dish,4
Peanut-butter-snickers-brownies-369426,Peanut Butter Snickers Brownies,3900.0,My Baking Addiction,5
Butterscotch-Cocoa-Brownies-1080101,Butterscotch Cocoa Brownies,3900.0,Broma Bakery,4
Chocolate-Marshmallow-Sheet-Brownies-1640094,Chocolate Marshmallow Sheet Brownies,3600.0,The Craft Patch,4
Fudge-Brownies-1098556,Fudge Brownies,3300.0,Add a Pinch,4
Chocolate-Espresso-Pumpkin-Brownies-898980,Chocolate Espresso Pumpkin Brownies,3300.0,The Lemon Bowl,4
Skinny-Mug-Brownies-_-Under-100-Calories-_-1000080,Skinny Mug Brownies ( Under 100 Calories ),180.0,Living Sweet Moments,3
Butterscotch-Brownies-with-Caramel-Icing-472954,Butterscotch Brownies with Caramel Icing,3300.0,Recipe Girl,5
Blueberry-Brownies-685591,Blueberry Brownies,3600.0,I am baker,4
Chai-Spice-Brownies-1375359,Chai Spice Brownies,2700.0,A Cookie Named Desire,4
Chewy-Peanut-Butter-Brownies-1687255,Chewy Peanut Butter Brownies,2400.0,AllRecipes,4
Sweet-and-Salty-Caramel-Brownies-1100536,Sweet and Salty Caramel Brownies,3900.0,The Crafting Foodie,4
Old-School-Walnut-Brownies-1538972,Old School Walnut Brownies,1800.0,Scientifically Sweet,4
Cheese-Brownies-761610,Cheese Brownies,2700.0,Tasty Kitchen,3
Fudge-Brownies-I-Allrecipes,Fudge Brownies I,3600.0,AllRecipes,4
Fudgy_-chewy_-cakey-brownies-369144,"Fudgy, Chewy, Cakey Brownies",3300.0,My Baking Addiction,5
Whole-Grain-Brownies-481913,Whole Grain Brownies,3600.0,Brown Eyed Baker,4
Slutty-Brownie-Pie-1373401,Slutty Brownie Pie,3900.0,Something Swanky,4
Cosmic-Brownies-991875,Cosmic Brownies,4500.0,Handle the Heat,4
Turtle-Brownies-475066,Turtle Brownies,4500.0,Annie's Eats,0
Avocado-Brownies-1037603,Avocado Brownies,2400.0,The Not So Desperate Housewife,4
Mega-Mallow-Coconut-Brownies-1022699,Mega Mallow Coconut Brownies,3900.0,Taste and Tell,4
Peanut-Butter-Marbled-Brownies-1048297,Peanut Butter Marbled Brownies,3300.0,Add a Pinch,4
Super-Fudge-Brownie-1252999,Super Fudge Brownie,3900.0,TheYummyJourney,4
Nutella-Fudge-Brownies-1362893,Nutella Fudge Brownies,3000.0,"Life, Love and Sugar",4
Smores-Mug-Brownie-1455823,S’mores Mug Brownie,720.0,Betty Crocker,3
Vanishing-Brownies-622027,Vanishing Brownies,1800.0,Majorly Delicious,3
PEEPS-Ghost-Brownies-1088869,PEEPS Ghost Brownies,2700.0,Cincy Shopper,4
S_mores-Brownies-513361,S'mores Brownies,3600.0,Leite's Culinaria,5
Salted-Dulce-De-Leche-Brownies-635125,Salted Dulce De Leche Brownies,3600.0,Bakerita,3
Irish-Coffee-Brownies-568263,Irish Coffee Brownies,3000.0,Confident Kitchen,4
Caramel-Kisses-Brownies-1265509,Caramel Kisses Brownies,2700.0,Roxana's Home Baking,4
Chocolate-Brownie-Breakfast-Bars-1694171,Chocolate Brownie Breakfast Bars,900.0,Chocolate Covered Katie,4
Breakfast-Brownies-1377805,Breakfast Brownies,3000.0,GoodFood,4
Cookies-and-Cream-Red-Velvet-Brownies-987825,Cookies and Cream Red Velvet Brownies,3000.0,This Silly Girl's Life,4
S_mores-Brownies-1048204,S'mores Brownies,2700.0,Bakerita,4
Rich-_-Thick-Homemade-Brownies-1355853,Rich & Thick Homemade Brownies,3600.0,Normal Cooking,4
Peanutbutter-Cup-Brownies-1449183,Peanutbutter Cup Brownies,2700.0,Adventures Of A Nurse,4
Peanut-Butter-Slutty-Brownies-989985,Peanut Butter Slutty Brownies,5400.0,Handle the Heat,4
X_s-_-O_s-Red-Velvet-Love-Brownies-997277,X's & O's Red Velvet Love Brownies,2700.0,Kid Things,4
Marshmallow-Crunch-Brownies-1493008,Marshmallow Crunch Brownies,2400.0,Classy Clutter,4
Flourless-Brownies-_Sugar-Free_-Low-Carb_-1567316,"Flourless Brownies (Sugar-Free, Low Carb)",2700.0,Diabetic Connect,3
The-Best-Brownies-486417,The Best Brownies,3000.0,Rock Recipes,4
Bakery-Style-Frosted-Brownies-1633075,Bakery-Style Frosted Brownies,2100.0,An Edible Mosaic,4
Fig-Brownies-1012296,Fig Brownies,2400.0,Against all Grain,4
Strawberry-Brownies-1255081,Strawberry Brownies,2100.0,12 Tomatoes,4
Chocolate-Mint-Brownies-1026466,Chocolate Mint Brownies,6300.0,Mom On Timeout,4
Brownie-BOMB-Bars_-1631592,Brownie BOMB Bars!,1200.0,Incredible Recipes from Heaven,4
Peanut-Butter-Brownies-1501977,Peanut Butter Brownies,3600.0,Hilary Stone Soup,4
Pumpkin-Brownies-1185306,Pumpkin Brownies,3000.0,Real Food Real Deals,4
Red-Wine-Brownies-987112,Red Wine Brownies,3300.0,Bake or Break,4
Frosted-Cake-Brownies-TasteOfHome,Frosted Cake Brownies,2700.0,Taste of Home,5
Patriotic-Brownies-with-Star-Frosting-1679421,Patriotic Brownies with Star Frosting,3300.0,Un Entitled Life,4
Strawberry-Brownie-1468878,Strawberry Brownie,2100.0,The 36th Avenue,4
Cream-Brownie-with-prunes_-1683930,Cream Brownie with prunes.,3600.0,Good food. Best Recipes,4
Cherry-Bliss-Brownies-AllRecipes-201487,Cherry Bliss Brownies,5100.0,AllRecipes,5
Easy-Caramel-Pretzel-Brownies-1070118,Easy Caramel Pretzel Brownies,1800.0,Frosting and the Smile,4
Turtle-Cheesecake-Brownies-977499,Turtle Cheesecake Brownies,5400.0,Just Us Four,4
Very-Chocolate-Brownies-TasteOfHome,Very Chocolate Brownies,2700.0,Taste of Home,4
Best-Oreo-Brownies-Ever-1167696,Best Oreo Brownies Ever,3000.0,Kylee Kitchen,4
S_mores-Brownies-1343037,S'mores Brownies,2100.0,All Things Mama,4
Toasted-Coconut-Brownies-1156977,Toasted Coconut Brownies,3000.0,Reluctant Entertainer,4
Salted-Fudge-Brownies-743920,Salted Fudge Brownies,4500.0,Life Currents,4
Dulce-de-Leche-Brownies-1572129,Dulce de Leche Brownies,3900.0,Miss in the Kitchen,4
Caramel-Cashew-Skillet-Brownies-1001089,Caramel Cashew Skillet Brownies,3300.0,Dixie Crystals,3
Brittle-and-jam-blonde-brownies-309059,Brittle and Jam Blonde Brownies,2400.0,Joy the Baker,5
Cheesecake-Brownie-Bars-1565020,Cheesecake Brownie Bars,7200.0,a trEATs affair,4
Brownie-Pudding-539887,Brownie Pudding,4500.0,Brown Eyed Baker,4
