,rec_name,tot_time_seconds,rec_source,rating
Buckwheat-brownies-with-walnuts-and-toffee-325872,Buckwheat Brownies With Walnuts And Toffee,5400.0,Food52,0
Brownie-Swirl-Cheesecake-1191002,Brownie Swirl Cheesecake,14400.0,Leite's Culinaria,4
Sweet-Potato-Cinnamon-Brownies-1105992,Sweet Potato Cinnamon Brownies,4200.0,Clean Eating,3
Chocolate-Mousse-Brownies-1280881,Chocolate Mousse Brownies,3000.0,Creme de la Crumb,4
Red-Velvet-Oreo-Swirl-Brownies-999001,Red Velvet Oreo Swirl Brownies,3600.0,Carlsbad Cravings,4
Black-Bean-Brownies-1012278,Black Bean Brownies,2700.0,ifoodreal,4
Spiderweb-Brownies-749850,Spiderweb Brownies,3000.0,Taste of Home,5
Banana-Brownie-Bread-1196130,Banana Brownie Bread,10800.0,Betty Crocker,3
S_mores-Brownies-1011968,S'mores Brownies,4800.0,Foodie Fiasco,4
Gooey-Brownies-With-Shortbread-Crust-Allrecipes,Gooey Brownies with Shortbread Crust,2400.0,AllRecipes,4
Fudge-Brownies-1521545,Fudge Brownies,4200.0,"Coffee, Cake, and Composition UK",4
Orange-Butter_Scream_-OREO-Brownies-1343291,Orange Butter'Scream' OREO Brownies,1200.0,The Baking Chocola Tess,4
Pumpkin-pie-swirled-brownie-tart-334845,Pumpkin Pie Swirled Brownie Tart,3900.0,Picky Palate,5
Brownie-Pecan-Pie-Ooey-Gooey-Butter-Cake-950208,Brownie Pecan Pie Ooey Gooey Butter Cake,5400.0,"Recipes, Food and Cooking",4
Andes-Mint-Chocolate-Chip-Brownie-Cups-1040234,Andes Mint Chocolate Chip Brownie Cups,2400.0,The Best Blog Recipes,4
Dreena-Burtons-Cookbook-and-Crazy-Brownies-1203847,Dreena Burtons Cookbook and Crazy Brownies,2640.0,Vegan in the Freezer,4
Caramel-Loaded-Fudge-Brownie-Cookies-1565564,Caramel Loaded Fudge Brownie Cookies,3600.0,a trEATs affair,4
Ooey-Gooey-Peanut-Butter-Chocolate-Brownies-1168204,Ooey-Gooey Peanut Butter-Chocolate Brownies,3600.0,MyRecipes,3
Caramel_marshmallow-Brownies-My-Recipes,Caramel-Marshmallow Brownies,3600.0,MyRecipes,4
Hazelnut-Coffee-Brownies-1537007,Hazelnut Coffee Brownies,3000.0,Wholistic Woman,4
Gwyneth-Paltrows-Gluten-Free-Vegan-Brownies-1047318,Gwyneth Paltrow’s Gluten Free Vegan Brownies,2400.0,A Life Well Lived,4
Fudge-Walnut-Brownies-_vegan_-Gluten-Free_-1090997,"Fudge Walnut Brownies ~vegan, Gluten Free~",1800.0,Begin within Nutrition,4
Oreo-Brownie-Ice-Cream-Sandwiches-1203533,Oreo Brownie Ice Cream Sandwiches,1500.0,Small Batch Treats and Healthy Eats,4
Easter-Overload-Brownies-1054559,Easter Overload Brownies,3600.0,Confessions of a Cookbook Queen,4
Grasshopper-Brownie-Cups-_-Mint-Chocolate-Goodness-601802,Grasshopper Brownie Cups | Mint Chocolate Goodness,2700.0,A Little Claireification,3
Fudge-Brownies-1122280,Fudge Brownies,3000.0,Dair Free Cooking About.com,3
Heart-Shaped-Valentine-Brownies-1503577,Heart Shaped Valentine Brownies,3600.0,Kid Friendly Things To Do,4
Alex_s-Chocolate-Brownie-Cupcakes-607295,Alex's Chocolate Brownie Cupcakes,2100.0,Love Foodies,3
Cream-Cheese-Marbled-Brownies-1023619,Cream Cheese Marbled Brownies,1800.0,Better Homes and Gardens,3
Hazelnut-Brownie-Tarts-518029,Hazelnut Brownie Tarts,3300.0,The Naptime Chef,4
Mint_Chocolate-Brownies-Martha-Stewart,Mint-Chocolate Brownies,10800.0,Martha Stewart,5
Peanut-Butter-Dulce-de-Leche-Brownies-494356,Peanut Butter Dulce de Leche Brownies,2700.0,Confections of a Foodie Bride,4
Brownie-Roll-Out-Cookies-1118628,Brownie Roll-Out Cookies,3600.0,Shutterbean,4
Cookie-Dough-Brownie-Cake-769389,Cookie Dough Brownie Cake,7200.0,Lemon-Sugar,4
Milly_s-oatmeal-brownies-310559,Milly's Oatmeal Brownies,2700.0,AllRecipes,5
Applesauce-Brownies-1430525,Applesauce Brownies,3300.0,Debs Farmstand,4
Chocolate-Brownie-Cookies-624738,Chocolate Brownie Cookies,2100.0,Bon Appétit,3
Raspberry-Brownie-Parfait-with-Mascarpone-Whip-488485,Raspberry Brownie Parfait with Mascarpone Whip,2100.0,GoodLife Eats,4
Brownie-Cups-With-Cookie-Dough-Filling-1301830,Brownie Cups With Cookie Dough Filling,2100.0,Baking With Mom,4
Cream-Cheese-Brownies-1281344,Cream Cheese Brownies,4500.0,Delishar,4
Molten-Chocolate-Brownie-S_mores-Pie-1552228,Molten Chocolate Brownie S'mores Pie,3600.0,The Kittchen,4
Skinny-Pink-Cream-Cheese-Swirl-Brownies-1067796,Skinny Pink ‘Cream Cheese’ Swirl Brownies,3600.0,Pink Recipe Box,4
Fudgy-Brownies-with-Crunchy-Butterfinger-Crust-1248416,Fudgy Brownies with Crunchy Butterfinger Crust,2400.0,Life Love And Sugar,4
No-Bake-Brownie-Bottom-Turtle-Cheesecake-1169900,No-Bake Brownie Bottom Turtle Cheesecake,3000.0,Sprinkle Some Sugar,4
Peanut-Butter-Brownie-Bites-476709,Peanut Butter Brownie Bites,4500.0,Ghirardelli Brand Chocolate,4
Decorated-Brownie-Bites-792137,Decorated Brownie Bites,2700.0,The Pioneer Woman,4
Chocolate-Brownie-Bites--548029,Chocolate Brownie Bites  ,1200.0,MyRecipes,3
Coconut-Cream-Cheese-Brownies-1167365,Coconut Cream Cheese Brownies,3000.0,The Baker Chick NYC,4
Hot-Fudge-Brownie-Ice-Cream-1198926,Hot Fudge Brownie Ice Cream,2700.0,Golden Brown and Delicious,4
Fudgy-Football-Brownies-1481966,Fudgy Football Brownies,3000.0,Real Mom Kitchen,4
Pumpkin-Brownies-1192180,Pumpkin Brownies,2100.0,Busy But Healthy,3
Pumpkin-Cream-Cheese-Swirl-Brownies-792685,Pumpkin Cream Cheese Swirl Brownies,2700.0,Southern Food About.com,3
Gooey-Chocolate-Brownies-1327918,Gooey Chocolate Brownies,1800.0,My Midlife Kitchen,4
Almond-Brownies-572910,Almond Brownies,2700.0,Taste of Home,5
One-Bowl-Brownies-1462979,One Bowl Brownies,2700.0,Kleinworth Co.,4
S_mores-Cookie-Dough-Brownie-Bombs-1049484,S'mores Cookie Dough Brownie Bombs,7200.0,The Domestic Rebel,4
Peppermint-Crunch-Brownies-966252,Peppermint Crunch Brownies,2100.0,Savory Style,4
Banana-Nut-Fudge-Brownie-Cupcakes-1599526,Banana Nut Fudge Brownie Cupcakes,2400.0,Manic Mama of 3,4
Fudgy-Brownie-Bites-1120219,Fudgy Brownie Bites,2700.0,Laughter And Lemonade,4
Mini-Strawberry-Brownie-Trifle-1035964,Mini Strawberry Brownie Trifle,2700.0,"Baking and Cooking, A Tale of Two Loves",4
Fudgy-Turtle-Brownie-Pie-1498349,Fudgy Turtle Brownie Pie,5100.0,Land O'Lakes,3
Mint-Julep-Brownies-with-Candied-Pecans-1614135,Mint Julep Brownies with Candied Pecans,4500.0,Noble Pig,4
Salted-Caramel-Pretzel-Brownies-1418811,Salted Caramel Pretzel Brownies,1800.0,Tablespoon,3
Buckeye-Brownie-Cookies-1522451,Buckeye Brownie Cookies,1800.0,Dinner Then Dessert,3
Mexican-Chocolate-Brownies-1011287,Mexican Chocolate Brownies,3300.0,Bluebonnet Baker,4
Dark-Chocolate-Chickpea-Brownies-1099404,Dark Chocolate Chickpea Brownies,1800.0,The Roasted Root,4
Cheesecake-Brownies-1487740,Cheesecake Brownies,3300.0,Lil' Luna,4
Peanut-Butter-and-Oat-Brownies-685878,Peanut Butter and Oat Brownies,2700.0,AllRecipes,4
Red-Velvet-Brownie-Conversation-Hearts-1057458,Red Velvet Brownie Conversation Hearts,3300.0,McCormick,3
Blonde-Brownies-Iii-Allrecipes,Blonde Brownies III,2700.0,AllRecipes,4
Eggless-Rich-_-Chewy-Brownies-1390701,Eggless Rich & Chewy Brownies,4200.0,Aromatic Cooking,4
Peppermint-Brownie-Parfaits-1423357,Peppermint Brownie Parfaits,1500.0,Favorite Family Recipes,4
Chocolate-Protein-Brownies-1519707,Chocolate Protein Brownies,1800.0,Let's Regale,4
Fudgy-Double-Chocolate-Skillet-Brownies-1083663,Fudgy Double Chocolate Skillet Brownies,5700.0,Whole and Heavenly Oven,4
Salted-Caramel-Cream-Cheese-Brownies-1370259,Salted Caramel Cream Cheese Brownies,4200.0,"Faith, Hope, Love, and Luck",4
Pecan-Brownie-Cheesecake-984226,Pecan Brownie Cheesecake,3000.0,Del's Cooking Twist,4
Baker_s-One-Bowl-Brownies-Allrecipes,BAKER'S ONE BOWL Brownies,3000.0,AllRecipes,4
Golden-Yam-Brownies-681970,Golden Yam Brownies,3600.0,AllRecipes,5
Triple-Layer-Brownies-1025897,Triple Layer Brownies,2520.0,Mandy's Recipe Box,4
Peanut-Butter-Cup-Brownies-1284588,Peanut Butter Cup Brownies,2700.0,Delishar,4
Brownies-With-Chipotle_cherry-Whipped-Cream-Epicurious,Brownies with Chipotle-Cherry Whipped Cream,900.0,Epicurious,4
Pretzel-Brownie-Bars-1103844,Pretzel Brownie Bars,6900.0,Betty Crocker,3
Raspberry-Cheesecake-Brownies-1619044,Raspberry Cheesecake Brownies,5100.0,The Nerdy Chef,4
