,rec_name,tot_time_seconds,rec_source,rating
Cheesecake-Brownie-1333267,Cheesecake Brownie,3300.0,Hadia's Lebanese Cuisine,3
Brownies-with-Sea-Salt-494700,Brownies with Sea Salt,2700.0,Confections of a Foodie Bride,4
Nannys-Chocolate-Fudge-Brownie-Cake-1622634,Nanny’s Chocolate Fudge Brownie Cake,3900.0,Love Foodies,4
Vegan-No-Bake-Chocolate-Fudge-Brownies-1571628,Vegan No Bake Chocolate Fudge Brownies,900.0,Hungry for balance,4
Pecan-Brownie-Brittle-625737,Pecan Brownie Brittle,3300.0,Bakers Royale,3
Reeses-Peanut-Butter-Cup-Brownies-1523139,Reese’s Peanut Butter Cup Brownies,3600.0,Center Cut Cook,4
Crustless-Brownie-Pie-1048137,Crustless Brownie Pie,3000.0,What's For Supper,4
Peanut-Butter-Cup-Crack-Brownies-1276419,Peanut Butter Cup Crack Brownies,3000.0,Culinary Couture,4
Mississippi-mud-brownies-_a_k_a_-the-tim-riggins-brownie_-371018,Mississippi Mud Brownies {a.k.a. The Tim Riggins Brownie},4200.0,Our Best Bites,5
Gluten-Free-Brownie-Cake-1633030,Gluten-Free Brownie Cake,3300.0,Cooking On The Weekends,4
Easy-Brownies-1438084,Easy Brownies,2700.0,My Daily Moment,3
Raspberry-Mint-Brownies-1247752,Raspberry Mint Brownies,3000.0,Bakerita,4
Cheesecake-Brownies-1331930,Cheesecake Brownies,3600.0,Heavenly Homemakers,4
Cookie-Dough-Brownies-1581246,Cookie Dough Brownies,4500.0,Honest Cooking,3
Keto-Brownies-1378345,Keto Brownies,1800.0,Keto Size Me,4
Ooey-Gooey-Dulce-de-Leche-Brownies-579855,Ooey Gooey Dulce de Leche Brownies,3600.0,Pizzazzerie,3
Cheesecake-Brownies-489740,Cheesecake Brownies,3600.0,Bake or Break,4
Healthy-Brownie-Batter-Dip-1113795,Healthy Brownie Batter Dip,900.0,Pink Recipe Box,4
Paleo-Hazelnut-Skillet-Brownie-for-Two-1002756,Paleo Hazelnut Skillet Brownie for Two,1500.0,Food Faith Fitness,4
Chocolate-Pecan-Brownies-607305,Chocolate Pecan Brownies,2100.0,Love Foodies,3
Spring-celebration-brownies-370125,Spring Celebration Brownies,3000.0,Real Mom Kitchen,4
Apple-Brownies-541086,Apple Brownies,5100.0,Martha Stewart,3
Reese_s-Peanut-Butter-Cup-Explosion-Brownies-1289086,Reese's Peanut Butter Cup Explosion Brownies,1800.0,The Baking Chocola Tess,4
Victory-Brownies-Allrecipes,Victory Brownies,3600.0,AllRecipes,4
Brownie-banana-bread-cupcakes-333565,Brownie Banana Bread Cupcakes,3300.0,How Sweet It Is,5
Pumpkin-Cheesecake-Swirl-Brownies-461449,Pumpkin Cheesecake Swirl Brownies,3000.0,Crumb,5
Outrageously-Peanutty-Snickers-Brownies-1156620,Outrageously Peanutty Snickers Brownies,3600.0,The Slow Roasted Italian,4
Cupcake-Brownie-with-Funnel-Cake-_-Caramel-Sauce-1259664,Cupcake Brownie with Funnel Cake & Caramel Sauce,3300.0,a Worthey read,4
Chocolate-Cheesecake-Brownies-1171725,Chocolate Cheesecake Brownies,3600.0,Bargain Briana,3
Black-Bean-Brownies-with-Pomegranates-989303,Black Bean Brownies with Pomegranates,1800.0,Lauren Kelly Nutrition,4
Symphony-Brownies-1338158,Symphony Brownies,3300.0,Food Fanatic,4
Chewy-Brownies-1021001,Chewy Brownies,2700.0,Pictures & Pancakes,4
Fudgy-Brownies-1239320,Fudgy Brownies,3000.0, FlapJacked,3
Hot-Fudge-Brownies-1364152,Hot Fudge Brownies,2700.0,Lauren's Latest,4
Peanut-Butter-Swirl-Brownies-1059573,Peanut Butter Swirl Brownies,3300.0,Food Fanatic,4
Brownie-Stuffed-Chocolate-Chip-Cookies-1583027,Brownie Stuffed Chocolate Chip Cookies,2700.0,French Press,4
Chocolate-Raspberry-Brownie-Trifles-761904,Chocolate Raspberry Brownie Trifles,4800.0,Ghirardelli Brand Chocolate,4
Apple-Butterscotch-Brownies-1075418,Apple-Butterscotch Brownies,7200.0,MyRecipes,3
Lunch-Lady-Brownies-1312476,Lunch Lady Brownies,3300.0,My Homemade Heaven,4
Brownie-Magic-Mallow-Bars-1546367,Brownie Magic Mallow Bars,3600.0,Baking Beauty,4
NIGEL-SLATERS-BROWNIES-1520433,NIGEL SLATER’S BROWNIES,4200.0,The Tart Tart,4
The-Best-Fudgey-Brownies-1340148,The Best Fudgey Brownies,2400.0,Raincakes and Thunderbuns,4
Buddy-Valastros-Brownies-1122693,Buddy Valastro’s Brownies,3600.0,Rachael Ray Show,3
The-Ultimate-Smores-Brownies-1563047,The Ultimate S’mores Brownies,3000.0,A Latte Food,4
Bayou-Brownies-MyRecipes-212317,Bayou Brownies,3600.0,MyRecipes,4
MARSHMALLOW-BROWNIES-1127821,MARSHMALLOW BROWNIES,3000.0,Butter With A Side Of Bread,4
Mocha-Brownies-482384,Mocha Brownies,3600.0,Brown Eyed Baker,4
Brownie-Batter-Smoothie-1185298,Brownie Batter Smoothie,300.0,Cravings of a Lunatic,4
Perfect-Brownie-Cookie-1583237,Perfect Brownie Cookie,1800.0,Add a Pinch,4
Best-Ever-Brownie-Frosting-1296488,Best Ever Brownie Frosting,480.0,A Dash of Sanity,4
Fudgy-Brownies-My-Recipes,Fudgy Brownies,2700.0,MyRecipes,3
Blueberry-Brownies-1177890,Blueberry Brownies,2700.0,California Giant Berry Farms,3
Raw-Vegan-Coconut-Brownies-1328202,Raw Vegan Coconut Brownies,1200.0,Food Doodles,4
Cheesecake-Brownie-1084864,Cheesecake Brownie,4500.0,Vegan Magic,4
Dark-Chocolate-Brownies-AllRecipes-39595,Dark Chocolate Brownies,3480.0,AllRecipes,5
Cheesecake-Brownies-1565294,Cheesecake Brownies,2100.0,Baking with Nyssa Aeda,4
The-Best-Brownie-Recipe-You-Will-Ever-Eat-1300300,The Best Brownie Recipe You Will Ever Eat,2100.0,The Adventure Bite,4
Fudgey-Walnut-Brownies-750008,Fudgey Walnut Brownies,2700.0,EatMunchLove,4
Simply-Fudgy-Brownies-TasteOfHome,Simply Fudgy Brownies,2400.0,Taste of Home,4
Smores-Brownies-592723,S’mores Brownies,3300.0,Only Taste Matters,4
