,rec_name,tot_time_seconds,rec_source,rating
No-Bake-Triple-Decker-Peanut-Butter-S_mores-Bars_-1698466,No-Bake Triple Decker Peanut Butter S'mores Bars.,3300.0,Half Baked Harvest,4
Pumpkin-brownie-cupcakes-with-vanilla-bean-buttercream-333079,Pumpkin Brownie Cupcakes with Vanilla Bean Buttercream,2700.0,Picky Palate,5
Fudgy-Chewy-Pumpkin-Swirl-Brownies-759168,Fudgy-Chewy Pumpkin Swirl Brownies,3600.0,White on Rice Couple,4
Bite-Size-Brownies-MyRecipes-214914,Bite-Size Brownies,2700.0,MyRecipes,3
Roasted-Cherry-Dark-Chocolate-Brownies-1577310,Roasted Cherry Dark Chocolate Brownies,3900.0,Pastry Affair,4
Brownie-Cheesecake-Bites-1060374,Brownie Cheesecake Bites,5100.0,Art and the Kitchen,4
Pumpkin-Spice-Brownie-Bites-979378,Pumpkin Spice Brownie Bites,3900.0,Inside BruCrew Life,4
Strawberry-Brownie-Trifle-974573,Strawberry Brownie Trifle,1800.0,Confessions of an Overworked Mom,4
Intensely-Chocolate-Cocoa-Brownies-1340317,Intensely Chocolate Cocoa Brownies,1500.0,AlloverUnique,4
Rachel_s-Brownies-753857,Rachel's Brownies,3900.0,Love Foodies,4
Peanut-Butter-Brownies-471441,Peanut Butter Brownies,3300.0,Southern Plate,5
Mexican-Spiced-Fudge-Brownies-1290558,Mexican-Spiced Fudge Brownies,7200.0,Betty Crocker,3
Easy-Brownie-Sandwich-Cookies-1474141,Easy Brownie Sandwich Cookies,3300.0,Scattered Thoughts of a Crafty Mom,4
Gingerbread-brownies-341922,Gingerbread Brownies,3000.0,MyRecipes,4
Mocha-Kahlua-Brownies-1566661,Mocha Kahlua Brownies,3900.0,Pastries like a pro,4
Chocolate-Dipped-Brownie-Bites-1203501,Chocolate Dipped Brownie Bites,4800.0,Sally's Baking Addiction,4
Banana-Brownie-Waffles-1079165,Banana Brownie Waffles,1800.0,Meal Makeover Moms,3
One-Bowl-Caffeinated-Coffee-Brownies-960727,One Bowl Caffeinated Coffee Brownies,4200.0,Love from the Oven,4
Creme-Egg-Chocolate-Brownies-1006751,Creme Egg Chocolate Brownies,3000.0,Fab Food 4 All,4
Ice-Cream-Brownie-Cups-1532340,Ice Cream Brownie Cups,2700.0,Cupcake Diaries,4
