,rec_name,tot_time_seconds,rec_source,rating
Zucchini-Walnut-Brownies-1230956,Zucchini Walnut Brownies,2700.0,Kitchology,4
Peanut-Butter-and-Jelly-Fudge-Brownies-1519829,Peanut Butter and Jelly Fudge Brownies,3000.0,Joy the Baker,4
Sweet-Potato-Brownies-1476246,Sweet Potato Brownies,3600.0,Food Matters,4
Double-Dark-Chocolate-Fudge-Brownies-1065940,Double Dark Chocolate Fudge Brownies,3000.0,Food Apparel,4
Smores-Brownie-Pizza-1474525,S’mores Brownie Pizza,7500.0,Betty Crocker,3
Peanut-Butter-and-Fleur-de-Sel-Brownies-489373,Peanut Butter and Fleur de Sel Brownies,3600.0,Love and Olive Oil,4
PMS-Brownies-939325,PMS Brownies,4500.0,PaleOMG,4
One-Pot-Double-Dark-Chocolate-Fudge-Brownies-1067673,One Pot Double-Dark Chocolate Fudge Brownies,2700.0,Food Apparel,4
Pumpkin-pie-fudge-brownie-bars-333481,Pumpkin Pie Fudge Brownie Bars,7200.0,How Sweet It Is,5
Fudgy-Paleo-Brownies-1043501,Fudgy Paleo Brownies,2100.0,The Naked Label,4
Peanut-Butter-Cup-Brownies-with-Peanut-Butter-Frosting-993748,Peanut Butter Cup Brownies with Peanut Butter Frosting,3600.0,Cupcake Diaries,4
Zucchini-Brownies-1371542,Zucchini Brownies,2400.0,Heavenly Homemakers,4
Caramel-Car-Bomb-Brownies-1526224,Caramel Car Bomb Brownies,2400.0,Palatable Pastime,4
Apple-Brownies-1412956,Apple Brownies,5400.0,RecipesPlus,3
Grasshopper-Brownie-Bars-488482,Grasshopper Brownie Bars,6300.0,Love and Olive Oil,4
Peppermint-Bark-Brownies-1397480,Peppermint Bark Brownies,3300.0,Follow the Ruels,4
Lower-Fat-Fudge-Brownies-1608470,Lower Fat Fudge Brownies,2400.0,AllRecipes,4
Whopper-Egg-Brownies-1559768,Whopper Egg Brownies,3000.0,Confessions of a Cookbook Queen,4
Mint-Chocolate-Chip-Skillet-Brownie-1540561,Mint Chocolate Chip Skillet Brownie,3900.0,Barbara Bakes,4
Milk-Chocolate-Truffle-Brownies-891775,Milk Chocolate Truffle Brownies,1500.0,Better Homes and Gardens,3
Grain-Free-Brownies-1288300,Grain Free Brownies,3000.0,Real Food RN,4
Butterscotch-Brownies-1087651,Butterscotch Brownies,2400.0,Never Enough Thyme,4
Chocolate-Chip-Cheesecake-Brownies-Allrecipes,Chocolate Chip Cheesecake Brownies,4200.0,AllRecipes,4
Neapolitan-Oreo-Brownies-1045296,Neapolitan Oreo Brownies,2400.0,Bluebonnet Baker,4
Double-Chocolate-Frosted-Brownies-1084078,Double Chocolate Frosted Brownies,3900.0,Texas Type A Mom,4
Nutella-Brownies-1437711,Nutella Brownies,1200.0,Sinfully Sweet,4
The-Best-Gluten-free-Fudgy-Brownies-_dairy-free_-whole-grain_-1580969,"The Best Gluten-free Fudgy Brownies (dairy-free, whole grain)",1800.0,Texanerin,4
Nutella-Brownies-1709274,Nutella Brownies,2400.0,Baked by an Introvert,4
Boom-Chicka-Popcorn-Brownies-1177825,Boom Chicka Popcorn Brownies,3000.0,"Faith, Hope, Love, and Luck",4
Healthy-Chocolate-Brownies-1476498,Healthy Chocolate Brownies,2400.0,Diet Taste,4
Brownie-Peanut-Butter-Cup-Surprises-979678,Brownie Peanut Butter Cup Surprises,1500.0,The Girl Who Ate Everything,4
Peanut-Butter-Cheesecake-Brownies-1564937,Peanut Butter Cheesecake Brownies,4500.0,a trEATs affair,4
Mocha-Brownies-1169611,Mocha Brownies,1800.0,Cake Whiz,4
Almond-Joy-Brownies-1356670,Almond Joy Brownies,3000.0,Food Fanatic,4
Peanut-Butter-Crumble-Truffle-Brownies-1070343,Peanut Butter Crumble Truffle Brownies,3600.0,"Recipes, Food and Cooking",4
Peanut-Butter-Truffle-Brownies-589479,Peanut Butter Truffle Brownies,9600.0,Betty Crocker,3
Peppermint-Ganache-Brownies-911793,Peppermint Ganache Brownies,4800.0,Hot Eats and Cool Reads,4
GAPS-Approved-Brownie-Batter-Dip-1592346,GAPS Approved “Brownie Batter” Dip,450.0,Coconut Recipes,3
Peanut-Butter-Swirl-Brownies-MyRecipes-246940,Peanut Butter Swirl Brownies,4500.0,MyRecipes,4
Chewy-Chocolate-Cherry-Brownies-486969,Chewy Chocolate Cherry Brownies,3300.0,Rock Recipes,4
Peanut-Butter-Brownie-Cheesecake-1110073,Peanut Butter-Brownie Cheesecake,5100.0,Handle the Heat,4
Mocha-Peppermint-3-Layer-Brownies-1416553,Mocha Peppermint 3-Layer Brownies,1800.0,Wholesomelicious,4
White-Chocolate-Brownies-1298507,White Chocolate Brownies,3000.0,Perchance to Cook,4
Thin-Mint-Chocolate-Fudge-Brownies-With-Peppermint-Essential-Oil-1216756,Thin Mint Chocolate Fudge Brownies With Peppermint Essential Oil,3000.0,The Essential Baker,4
Coconut-and-Peanut-Butter-Brownie-Bars-1598422,Coconut and Peanut Butter Brownie Bars,5100.0,Spoon Fork Bacon,4
Rolo-Pretzel-Brownies-1195460,Rolo Pretzel Brownies,2700.0,Creme de la Crumb,4
Fudge-Brownies-1389973,Fudge Brownies,3300.0,I Heart Nap Time,4
White-Chocolate-Espresso-Brownies-970900,White Chocolate Espresso Brownies,2400.0,Sweet Peas and Saffron,4
Black-Bean-Brownie-1178978,Black Bean Brownie,2100.0,Girls Got Curves,4
Brownie-Batter-Waffles-1200652,Brownie Batter Waffles,2100.0,A Sweet Life,4
Fudgy-Dark-Chocolate-Raspberry-Brownies-899227,Fudgy Dark Chocolate Raspberry Brownies,2700.0,Amy's Healthy Baking,4
Dark-Chocolate-Pumpkin-Brownies-1271972,Dark Chocolate Pumpkin Brownies,3000.0,Hugsand Cookies xoxo,4
Blackberry-Cheesecake-Swirl-Brownies-1048522,Blackberry Cheesecake Swirl Brownies,1800.0,Crumbs in my Mustachio,4
Fudgy-Brownie-Cake-528628,Fudgy Brownie Cake,3300.0,Martha Stewart,3
Buckeye-Oreo-Brownies-994817,Buckeye Oreo Brownies,3900.0,Hugsand Cookies xoxo,4
SNICKERS-Ice-Cream-Brownie-Cake-1619377,SNICKERS® Ice Cream Brownie Cake,1800.0,Sprinkle Some Fun,4
Peanut-Butter-Pretzel-Brownies-1112970,Peanut Butter-Pretzel Brownies,2700.0,Tablespoon,3
Gold-Rush-Brownies-TasteOfHome,Gold Rush Brownies,1800.0,Taste of Home,5
Milk-Chocolate-Brownies-1358907,Milk Chocolate Brownies,3000.0,Bindybee,4
Peanut-Butter-Brownies-490649,Peanut Butter Brownies,1800.0,Clean Eating,3
Brownie-Conversation-Hearts-1497511,Brownie Conversation Hearts,2520.0,How does your garden grow,4
Fudgy-Mint-Chocolate-Chip-Brownies-1175226,Fudgy Mint Chocolate Chip Brownies,2700.0,"Dinners, Dishes and Desserts",4
Pumpkin-Spice-Latte-Brownies-1317658,Pumpkin Spice Latte Brownies,2700.0,Bakerita,4
Mint-Brownies-1025018,Mint Brownies,3900.0,Tastes Better from Scratch,4
Skinny-Brownie-Cake-607423,Skinny Brownie Cake,2400.0,Happy Cooking Healthy Living,3
Caramel-Pretzel-Crunch-Brownies-1537085,Caramel Pretzel Crunch Brownies,9600.0,Tablespoon,3
EASY-Nutella-Brownies-1554676,EASY Nutella Brownies,2400.0,Stacy Snacks,4
Staceys-Emergency-Brown-Butter-Pecan-Brownies-1057674,“Stacey’s Emergency” Brown Butter Pecan Brownies,4500.0,Yummy Books,4
Deep-Dark-Fudgy-Brownies-627434,Deep-Dark Fudgy Brownies,4500.0,King Arthur Flour,3
S_mores-Brownies-1256712,S'mores Brownies,3300.0,Food Fanatic,4
Brownie-In-A-Mug-_Gluten-Free-and-Vegan_-1021023,Brownie In A Mug (Gluten Free and Vegan),900.0,Petite Allergy Treats,4
How-To-Make-Fudgy-Brownies-With-Crackly-Tops-1364770,How To Make Fudgy Brownies With Crackly Tops,1500.0,Cake Whiz,4
Oreo-Brownies-1171292,Oreo Brownies,2400.0,Little Sunny Kitchen,4
Twix-Cheesecake-Brownie-Torte-1050697,Twix Cheesecake Brownie Torte,4800.0,Making Memories With Your Kids,4
Easy-Brownie-Cheesecake-Bites-1259194,Easy Brownie Cheesecake Bites,1620.0,Sunny Side Ups,4
Birthday-Cake-Oreo-Brownies-1233180,Birthday Cake Oreo Brownies,4500.0,Butter Cream Blondie,4
Nutella-Brownie-Cups-1269849,Nutella Brownie Cups,1800.0,"Dinners, Dishes and Desserts",4
No-Bake-Frosted-Brownies-1477586,No Bake Frosted Brownies,2700.0,My Real Food Family,3
Double-Chocolate-Chip-Brownie-Doughnuts-1689525,Double Chocolate Chip Brownie Doughnuts,1260.0,The Plant Strong Vegan,4
Pumpkin-Pie-Brownie-Bombs-1278035,Pumpkin Pie Brownie Bombs,4200.0,The Domestic Rebel,4
Gastroparesis-Friendly-Brownie-for-One-1101318,Gastroparesis-Friendly Brownie for One,1200.0,Crystal Saltrelli CHC,4
Raspberry-Cream-Cheese-Brownies-1085749,Raspberry-Cream Cheese Brownies,3900.0,MyRecipes,3
Mini-Brownie-Butter-Cake-1119098,Mini Brownie Butter Cake,1800.0,Rasa Malaysia,4
Double-Chocolate-Brownies-1341379,Double Chocolate Brownies,2400.0,Meatloaf and Melodrama,3
Cookies-N-Creme-Brownies-1018076,Cookies N Creme Brownies,3000.0,"Oh, Sweet Basil",4
Low-Carb-Brownies-1058784,Low Carb Brownies,1800.0,Best Healthly Low-Carb Diet,4
Brownie-cookies-369170,Brownie Cookies,2100.0,My Baking Addiction,5
Walnut-Brownies-1406226,Walnut Brownies,2400.0,RecipesPlus,3
Double-Chocolate-Paleo-Brownie-628581,Double Chocolate Paleo Brownie,2400.0,Fit Foodie Finds,3
Chocolate-Cream-Pie-Brownies-1080116,Chocolate Cream Pie Brownies,3600.0,Handle the Heat,4
Homemade-Eggless-Chocolate-Brownies-1343690,Homemade Eggless Chocolate Brownies,3600.0,My Food Story,3
Gluten-Free-Peanut-Butter-Chocolate-Chip-Brownies-1623582,Gluten Free Peanut Butter Chocolate Chip Brownies,3900.0,Let's Be Yummy,4
Dark-Chocolate-Cherry-Brownies-895929,Dark Chocolate Cherry Brownies,2400.0,Peanut Butter and Peppers,4
Sweet-Potato-Brownies-1524875,Sweet Potato Brownies,2400.0,Stonesoup,4
Cookies-and-Cream-Brownies-1509893,Cookies and Cream Brownies,3000.0,Fifteen Spatulas,3
Hot-Fudge-Crock-Pot-Brownies-1502295,Hot Fudge Crock Pot Brownies,11100.0,"Dinners, Dishes and Desserts",4
Guinness-Stout-Chocolate-Brownies-1358190,Guinness Stout Chocolate Brownies,18000.0,Roxana's Home Baking,4
Mini-Chewy-Brownies-1427039,Mini Chewy Brownies,3300.0,Baking Mad,3
Violet-Bakery-Rye-Brownies-1419987,Violet Bakery Rye Brownies,2400.0,New York Times Cooking,3
Cherry-Cream-Cheese-Brownies-1046695,Cherry Cream Cheese Brownies,3900.0,Easy to Make Recipes,3
Swirled-Cheesecake-Brownies-1123996,Swirled Cheesecake Brownies,8700.0,Life Script,4
Ultimate-Triple-Chocolate-Chip-Brownies-1022436,Ultimate Triple Chocolate Chip Brownies,5400.0,Brown Eyed Baker,4
Brown-Butter-Brownie-Ice-Cream-1164366,Brown Butter Brownie Ice Cream,2100.0,Broma Bakery,4
Peanut-Butter-Oreo-Stuffed-Brownies-1044064,Peanut Butter Oreo Stuffed Brownies,1800.0,Family Fun Journal,4
Mighty-Macro-Brownies-1332847,Mighty Macro Brownies,3300.0,Home Cooked Vegan,4
Chocolaty-Zucchini-Brownies-1209318,Chocolaty Zucchini Brownies,2100.0,Thank Your Body,4
2-Minute-Baked-Brownie-Balls-1279434,2 Minute Baked Brownie Balls,900.0,Wholefood Simply,4
Luck-o_-the-Irish-Brownie-1608690,Luck o' the Irish Brownie,5700.0,AllRecipes,4
Extra-Fudgy-Flourless-Pumpkin-Brownies-1425580,Extra Fudgy Flourless Pumpkin Brownies,3000.0,Saving Everyday,4
Made-From-Scratch-Gooey-Brownies-1432428,Made From Scratch Gooey Brownies,3000.0,Casual Craftlete,4
Slow-Cooker-Brownie-Pudding-Cake-604908,Slow-Cooker Brownie Pudding Cake,9600.0,Tablespoon,3
Peanut-Butter-Brownies-1126033,Peanut Butter Brownies,2700.0,Yin and Yolk,4
Monogrammed-Jumbo-Brownies-1301562,Monogrammed Jumbo Brownies,4200.0,MyRecipes,3
Healthy-Fudgy-Chocolate-Zucchini-Brownies-1063451,Healthy Fudgy Chocolate Zucchini Brownies,1500.0,The Endless Meal,4
Crunchy-Cookies-and-Cream-Brownies-1493455,Crunchy Cookies and Cream Brownies,4800.0,Bakers Royale,4
Pumpkin-Spice-Brownies-1351242,Pumpkin Spice Brownies,3300.0,Kitchenability,4
Mini-Brownie-Cups-with-Rolo-Centers-596839,Mini Brownie Cups with Rolo Centers,3000.0,Big Bang Bites,4
Peanut-Butter-_-Cookie-Brownies-753271,Peanut Butter & Cookie Brownies,3300.0,Love Foodies,4
Flourless-Chocolate-Chip-Brownies-1184585,Flourless Chocolate Chip Brownies,3000.0,Tastefully Julie,4
Espresso-Chocolate-Chunk-Skillet-Brownies-1435149,Espresso Chocolate Chunk Skillet Brownies,2400.0,Camille Styles,4
Rocky-Road-Brownies-1168909,Rocky Road Brownies,4200.0,Dixie Crystals,3
Fudgy-Chocolate-Hazelnut-Brownies-1345315,Fudgy Chocolate Hazelnut Brownies,3000.0,Honest Cooking,3
Chocolate-Brownies-with-Ganache-Frosting-1067785,Chocolate Brownies with Ganache Frosting,3300.0,Pink Recipe Box,4
Samoa-Brownies---and-my-time-as-a-Cub-Scout-1040389,Samoa Brownies - and my time as a Cub Scout,3000.0,Southern Plate,4
Cherry-Cheesecake-Brownies-1000267,Cherry Cheesecake Brownies,4200.0,The Recipe Rebel,4
Ryan-Scotts-Brownie-in-a-Mug-1473421,Ryan Scott’s Brownie in a Mug,600.0,Rachael Ray Show,3
Sweet-and-Salty-Brownies-482572,Sweet and Salty Brownies,4500.0,Brown Eyed Baker,4
Candy-Cane-Brownie-1397674,Candy Cane Brownie,3420.0,Ann's Entitled Life,4
Berries-_N_-Cream-Brownies-MyRecipes-241405,Berries 'N' Cream Brownies,3300.0,MyRecipes,4
Angel-Brownies-1476245,Angel Brownies,1800.0,Whole Heartedly Heathy,4
Raw-Raspberry-Brownies-1329055,Raw Raspberry Brownies,600.0,Food Doodles,4
Dark-Chocolate-Whole-Wheat-Brownies-484869,Dark Chocolate Whole Wheat Brownies,3600.0,Barefeet In The Kitchen,4
Razzle-Dazzle-Brownies-947248,Razzle Dazzle Brownies,3000.0,Lemons and Laughs,4
Toasted-Marshmallow-Brownies-1499355,Toasted Marshmallow Brownies,2400.0,Rock Recipes,4
